key	kind	quote	reason
btm:M113	unsupported	Here the glycosyltransferases build lactosylceramide-derived glycosphingolipids and chondroitin sulfate chains	B3GNT5 acts on lactosylceramide (lacto/neolacto series) and CSGALNACT1 initiates chondroitin sulfate, so broadly correct, but attributing both to "lactosylceramide-derived" glycosyltransferase activity blurs; arguable rather than clearly wrong.
btm:M215	unsupported	Because activation is transient by design, the abundance of negative regulators is the point rather than an accessory feature, and their disruption drives unchecked motility and invasion.	No evidence in the gene list or name that disruption of these specific RhoGAPs/GDIs causes invasion; speculative mechanism.
btm:M215	unsupported	loss of RAC2 or VAV1 function produces immunodeficiency with defective T cell signalling and neutrophil chemotaxis	RAC2 deficiency causes human immunodeficiency, but human VAV1 loss-of-function immunodeficiency is not an established disease association.
btm:M215	wrong	the exchange factors VAV1 and FGD3 load them with GTP downstream of antigen and integrin receptors	FGD3 is a Cdc42-specific GEF, not a GEF for RAC2/RHOG/RHOH; also RHOH is an atypical GTPase-deficient, constitutively GTP-bound Rho protein not activated by GEFs.
btm:M71	unsupported	loss of class II expression produces severe combined immunodeficiency of the bare lymphocyte type	MHC class II deficiency is bare lymphocyte syndrome type II, usually classed as a combined immunodeficiency rather than classical SCID; the disease claim is not derivable from the gene list.
go:GO:0002286	unsupported	too little gives susceptibility to intracellular pathogens, too much gives autoimmunity and inflammatory disease	Disease-outcome framing not derivable from the gene list or curated description; plausible but unsupported specific claim.
go:GO:0002286	wrong	Proteasome subunits, SOCS proteins, ZC3H12A and the roquin ligases restrain the response	Proteasome subunits (including immunoproteasome PSMB8/9/10) support antigen processing and NF-κB activation rather than restraining T cell activation; only SOCS, ZC3H12A and roquins are negative regulators.
go:GO:0002291	unsupported	plus semaphorin–plexin cues that tune contact duration	PLXNA1/SEMA6D are implicated in dendritic cell–T cell interaction, but a specific role in modulating contact duration is not supported by the gene list or curated description.
go:GO:0002711	unsupported	several of its components are exploited therapeutically	Therapeutic exploitation is not supported by the gene list or curated description.
go:GO:0002711	wrong	while GATA3, TBX21 and FOXP3 fix helper lineage identity	FOXP3 specifies regulatory T cells and is a suppressor of effector T cell immunity, not a helper (Th) lineage identity factor; grouping it as positively fixing helper identity is misleading.
go:GO:0006270	unsupported	The same machinery is redeployed in multiciliated cell differentiation through GMNC and MCIDAS, linking origin control to centriole amplification.	GMNC/MCIDAS are geminin-family transcriptional regulators of multiciliogenesis; claiming the replication-initiation machinery is 'redeployed' for centriole amplification goes beyond the gene list and established evidence.
go:GO:0006270	wrong	cyclin E-CDK2 together with CDC45, GINS and MCM10 converts it into an active replisome	Helicase activation is driven by DDK and CDK (S-phase CDK), but the CMG-forming step is not attributed to cyclin E-CDK2 as the converting kinase in this way; CDK2 activity licenses initiation rather than assembling CDC45/GINS directly.
go:GO:0007158	unsupported	Telencephalin, a dendritically enriched adhesion molecule, can engage leukocyte integrins, connecting neurons to immune cell contacts.	ICAM5/telencephalin binding LFA-1 (ITGAL/ITGB2) is established, but the framing as 'immune cell contacts' is an extrapolation; acceptable-ish yet not supported directly.
go:GO:0007492	unsupported	the same signalling logic is exploited to direct pluripotent stem cells toward hepatic and pancreatic fates	Application to stem-cell differentiation protocols is not supported by the gene list or curated description, though plausible.
go:GO:0007494	unsupported	Its failure explains a family of congenital gut disorders: aganglionic bowel when enteric neural crest cells fail to colonize the intestine, and malformations of gut rotation, lumen formation and vascular investment.	Specific disease/malformation claims are not derivable from the gene set or curated definition; asserting these disorders arise from midgut development failure overreaches.
go:GO:0007494	unsupported	The accompanying urea-cycle and ketogenic enzymes mark the metabolic differentiation that intestinal and hepatic epithelium acquires as the midgut matures toward nutrient handling.	Interpreting ASS1/CPS1/OTC/HMGCS2 presence as marking midgut metabolic differentiation is a speculative mechanism not supported by the gene list or definition.
go:GO:0008643	unsupported	Its failure produces glucose-galactose malabsorption, renal glycosuria, and the insulin resistance underlying type 2 diabetes.	The first two disease links are established for SLC5A1/SLC5A2, but attributing type 2 diabetes insulin resistance to failure of carbohydrate transport is a causal claim not supported by the name, curated text or gene list.
go:GO:0008643	unsupported	insulin acting through INSR, IRS1/2, PI3K and AKT2 triggers exocytosis of GLUT4 storage vesicles via RHOQ, STXBP4 and TBC-associated trafficking factors	No TBC-domain Rab-GAP genes (e.g. TBC1D1/TBC1D4) appear in the gene list, so the reference to TBC-associated trafficking factors is not supported here.
go:GO:0009203	unsupported	its loss causes accumulation of these metabolites and, in severe cases, early-onset encephalopathy, and its variants alter tolerance of thiopurine and ribavirin therapy	Specific disease and pharmacogenetic associations are not derivable from the gene set or curated description, though they are reported in literature.
go:GO:0010447	unsupported	Downstream adjustments include sodium/proton exchange by SLC9A1 to restore intracellular pH, trafficking of transporters, and release of mediators such as somatostatin.	Trafficking claim rests only on RAB11B/RAB11FIP5 presence; specific somatostatin release as an acid response mediator is an inference not established by the set.
go:GO:0010642	unsupported	Restraint matters because unchecked PDGF receptor activity contributes to intimal hyperplasia, fibrosis, glioma growth and pathological angiogenesis, while the same braking keeps smooth muscle in a contractile rather than synthetic state.	Specific disease associations are not derivable from the gene set or curated description.
go:GO:0010642	unsupported	transcriptional regulators such as MYOCD limit receptor expression	Myocardin's role here is asserted as repressing PDGFR expression; no evidence from set that it acts by limiting receptor expression.
go:GO:0010642	wrong	receptor tyrosine phosphatases such as PTPRJ, PTPN2 and PTPN12 strip activating phosphotyrosines	PTPN2 and PTPN12 are non-receptor (cytoplasmic) tyrosine phosphatases; only PTPRJ is a receptor-type phosphatase.
go:GO:0010749	wrong	Both catalytic subunits of the NO receptor guanylate cyclase appear here as the direct sensor, and several of the remaining genes act upstream on how much signal is generated or permitted.	GUCY1A1 and GUCY1A2 are two alpha isoforms, not the two subunits of the heterodimer; the obligate partner is a beta subunit (GUCY1B1), which is absent.
go:GO:0010906	unsupported	Failure of this regulation underlies insulin resistance, type 2 diabetes and glycogen storage disorders.	Specific disease attributions are not derivable from the gene set or curated GO definition.
go:GO:0014015	unsupported	while inappropriate activation contributes to reactive gliosis and glioma	Disease link to glioma is not implied by the gene set or the curated definition of gliogenesis regulation.
go:GO:0019370	unsupported	making it the pathway behind asthma and other allergic inflammation and the target of drugs such as zileuton and montelukast	Montelukast is a CysLT1 receptor antagonist and does not target leukotriene biosynthesis; specific disease/drug claims are not supported by the gene list.
go:GO:0019370	wrong	Expression is largely restricted to myeloid and mast cells, where receptor signalling through kinases including SYK triggers calcium-dependent enzyme translocation.	Several set members are not myeloid-restricted: PLA2G1B is pancreatic and the GGT family and MGST3/ABCC1 are broadly expressed.
go:GO:0019370	wrong	progressively trimmed by gamma-glutamyl transferases to LTD4 and LTE4	GGT/GGT5 converts LTC4 to LTD4; the further step to LTE4 is catalysed by a dipeptidase, not a gamma-glutamyl transferase.
go:GO:0019374	unsupported	FA2H supplies the 2-hydroxylated fatty acyl chains that give these lipids their unusual stability in the myelin sheath	FA2H does 2-hydroxylate sphingolipid fatty acyls, but the attribution of 'unusual stability' in myelin is a specific mechanistic claim not supported by the gene list or curated description.
go:GO:0023019	unsupported	PARP1	Not a claim in the description; ignore.
go:GO:0030517	wrong	together with the chondroitin sulfate proteoglycan tenascin-R, enforce the same restraint in mature CNS tissue	Tenascin-R is an extracellular matrix glycoprotein of the tenascin family, not a chondroitin sulfate proteoglycan (lectican) like neurocan or brevican.
go:GO:0031442	unsupported	and CCNB1 brings cell-cycle control to bear on transcript maturation	No stated mechanism links cyclin B1 to mRNA 3'-end processing regulation here.
go:GO:0031442	unsupported	the G-quadruplex-resolving helicase DHX36 acts on structured 3' untranslated regions	DHX36 is indeed a G4 helicase, but its acting on 3'UTR structures in 3'-end processing is not supported by the gene set or curated description.
go:GO:0031952	unsupported	Loss of such restraint underlies unchecked proliferative signalling in cancer.	Disease/cancer mechanism claim is not supported by the GO term name, curated definition, or gene list.
go:GO:0032008	wrong	Amino acid sufficiency is read by sensors such as SLC38A9, CASTOR1 and SAMTOR and relayed through the Rag GTPases and their GATOR/folliculin-related regulators	CASTOR1 (arginine) and SAMTOR (S-adenosylmethionine) sense the absence of their ligands and inhibit mTORC1 via GATOR2; they signal deprivation rather than sufficiency, unlike SLC38A9.
go:GO:0032259	unsupported	defects in tRNA and rRNA modification enzymes cause intellectual disability and mitochondrial disease	Specific disease association not derivable from the gene list or curated definition; asserted as a named-disease claim.
go:GO:0032259	wrong	PRMT families are recurrently mutated in developmental syndromes and cancer	PRMTs are arginine methyltransferases, not histone lysine methyltransferases as the sentence's framing implies, and they are not characteristically recurrently mutated in developmental syndromes; they are more often overexpressed.
go:GO:0032735	unsupported	while galectin-9, HLA-G and IDO1 mark the counter-regulatory context in which it operates.	These genes are members of a positive regulation of IL-12 production set; casting them as counter-regulatory contradicts their inclusion and is not supported by the gene list or curated description.
go:GO:0033144	unsupported	This restraint sets tissue sensitivity to circulating hormones and, when lost, permits the unchecked receptor output that drives hormone-dependent breast and prostate cancers.	Specific disease causation claim not derivable from the term or gene list.
