key	arm	description	checks	words	model	prompt_version
btm:M113	B repair	These proteins share residence in or passage through the Golgi membrane, the sorting and modification hub where newly made proteins and lipids are glycosylated, remodelled and dispatched to their destinations. The grouping links glycan synthesis to lipid metabolism and cargo sorting: B3GNT5 extends glycosphingolipid chains, CSGALNACT1 initiates chondroitin sulfate chains on proteoglycan core proteins, and SGMS2 makes sphingomyelin from ceramide in the trans-Golgi, supplying the lipid that structures the secretory pathway and the plasma membrane. SORT1 acts as a sorting receptor that routes cargo between Golgi, endosomes and the cell surface, while WLS is the dedicated carrier that loads lipid-modified Wnt ligands for secretion, so Wnt-dependent patterning fails without it. Growth factor and receptor cargo such as PDGFC and TLR8 traverse the same compartment, illustrating how Golgi transit determines what a cell ultimately secretes or displays.	-	136	claude-opus-5	v4
btm:M215	B repair	Small GTPase mediated signal transduction converts receptor engagement into changes in the actin cytoskeleton, cell shape, adhesion and motility, and the genes here represent the haematopoietic arm of that control. Rho-family switches such as RAC2 and RHOG are loaded with GTP by exchange factors including VAV1 and FGD3, which couple immune receptor and kinase signalling to cytoskeletal remodelling. The set is dominated by the off switches and brakes: a large family of Rho GTPase-activating proteins that stimulate GTP hydrolysis, and guanine nucleotide dissociation inhibitors that sequester inactive GTPases in the cytosol. RHOH is atypical, lacking GTPase activity and acting instead as a constitutively GTP-bound adaptor. The balance of activators and inactivators sets how transiently and how locally a GTPase is switched on, which is what allows leukocytes to polarise, migrate and rearrange their cortex on demand.	-	136	claude-opus-5	v4
go:GO:0000278	B repair	Cell proliferation depends on an ordered progression through the mitotic cell cycle — G1, S, G2 and M — in which the genome is replicated once and then partitioned equally into two daughter cells. The programme is driven by cyclin-dependent kinases paired with successive cyclins, restrained by CDK inhibitors such as p21 and p27 and by the retinoblastoma–E2F switch that licenses S-phase entry, and reset by ubiquitin-mediated destruction of cyclins and securin through the anaphase-promoting complex and SCF ligases. Origin licensing by MCM proteins, checkpoint kinases responding to DNA damage or replication stress, kinetochore and spindle assembly checkpoint components, condensin and cohesin, centrosomal and microtubule machinery, and ESCRT-dependent abscission at the cleavage furrow each govern a distinct step. Loss of these controls produces aneuploidy, genome instability and unchecked growth, which is why the pathway is central to cancer and to development.	-	141	claude-opus-5	v4
go:GO:0002286	B repair	When a T cell meets antigen presented on MHC together with costimulation, it changes shape, upregulates activation markers, proliferates and commits to an effector programme; this is the step that converts specific recognition into an actual immune response. The genes here span the antigen-presentation and costimulatory interface (HLA class II, CD74, CD80/CD86, ICOS and its ligand, ICAM1 and the integrin LFA-1), the cytokine and JAK-STAT circuitry that instructs lineage choice, and the transcription factors that define the resulting subsets — TBX21 for Th1, GATA3 for Th2, RORC for Th17, BCL6 for follicular helper and FOXP3 for regulatory T cells. Immunoproteasome subunits, IL-12/IL-23/IL-6 receptor components and negative regulators such as SOCS3, SMAD7 and the roquin proteins set the threshold and duration of the response. Too little yields immunodeficiency; unchecked activation drives autoimmunity and chronic inflammation.	-	134	claude-opus-5	v4
go:GO:0002291	B repair	A T cell commits to an immune response only when its receptor engages antigen displayed on an MHC molecule by an antigen-presenting cell, and this pathway covers the cell-cell contact that turns that recognition into changed morphology and behaviour. It is the decision point for adaptive immunity: too little and infection or tumour escapes, too much and autoimmunity follows. Adhesion and stabilisation of the immunological synapse come from the LFA-1 integrin subunit ITGAL with its ligand ICAM1 and the adaptor APBB1IP, which couples inside-out integrin activation. Antigen loading onto class II molecules depends on the HLA-DM chain. Much of the remainder is restraint: HAVCR2 with galectin-9, LILRB1, and FGL2 dampen or terminate activation, while semaphorin-plexin and TREM2-TYROBP signalling further tune the interaction. The balance of adhesive and inhibitory inputs sets the threshold and duration of T cell priming.	-	138	claude-opus-5	v4
go:GO:0002711	B repair	Processes that raise the frequency, rate or extent of T cell mediated immunity are gathered here: the events that make antigen visible to T cells and then push responding cells toward effector differentiation. Antigen presentation supplies the front end, with classical class I and class II molecules plus beta-2 microglobulin and a peptide transporter, alongside the lipid-presenting CD1 family and the metabolite-presenting MR1 that serve unconventional T cell subsets. Stress-induced ULBP and RAET1 ligands and nectin-family surface proteins engage activating receptors on cytotoxic lymphocytes, while costimulation and adhesion are contributed by molecules such as CD81, SLAMF1 and OX40 ligand. Cytokines and their receptors — IL-12, IL-18, IL-23, IL-1beta, IL-4, IL-6 — act with the transcription factors TBX21, GATA3 and FOXP3 to specify helper and regulatory fates, and adaptors including MALT1, TRAF2, TRAF6 and MAP3K7 relay the receptor signals inward.	-	139	claude-opus-5	v4
go:GO:0003044	B repair	Systemic arterial blood pressure is set moment to moment by circulating and locally released chemical signals acting on vessel tone, cardiac output and renal salt and water handling. This hormonal, autocrine and paracrine control is what keeps perfusion adequate on standing or after blood loss, and its derangement underlies essential hypertension, pre-eclampsia and heart failure. The renin-angiotensin-aldosterone axis dominates: renin cleaves angiotensinogen, angiotensin-converting enzyme generates angiotensin II for AT1 and AT2 receptors, while ACE2 and a Mas receptor arm oppose it and aldosterone synthase drives mineralocorticoid production. Vasopressin and oxytocin receptors, endothelins with their converting enzyme, adrenergic and dopaminergic receptors, substance P and tachykinin signalling, and thrombin-activated protease receptors add further inputs, balanced against endothelial nitric oxide synthase-derived vasodilation and modulated by NADPH oxidase-generated superoxide and mast cell proteases.	-	129	claude-opus-5	v4
go:GO:0006109	B repair	Control over how fast carbohydrates are made, stored and broken down is what lets a body hold blood glucose steady between meals and match fuel use to demand. This regulatory layer sits above glycolysis, gluconeogenesis and glycogen turnover rather than carrying flux itself, and its loss is a route into insulin resistance and disordered glucose handling. Hormonal inputs converge here: insulin and glucagon through their receptors, IRS adaptors, AKT and GSK3, alongside glucocorticoid receptor signalling and adipokines such as leptin and adiponectin. Energy sensing runs in parallel through AMPK subunits, mTOR complex components and sirtuins. Effectors include glucokinase and fructose-1,6-bisphosphatase at committed steps, the pyruvate dehydrogenase kinases that gate pyruvate oxidation, and a family of protein phosphatase 1 glycogen-targeting subunits. Transcriptional regulators including FOXO1, HIF1A, PPARGC1A, MLXIPL and TCF7L2 set longer-term capacity, with several microRNAs tuning the output.	-	138	claude-opus-5	v4
go:GO:0006198	B repair	Signals that raise cyclic AMP are terminated by hydrolysing the nucleotide to 5'-AMP, and this catabolic route is how a cell resets after stimulation by hormones and neurotransmitters that act through adenylyl cyclase. The enzymes here are cAMP-specific phosphodiesterases, which cleave the 3',5'-cyclic phosphate and so limit the duration and spatial spread of protein kinase A activation. Individual family members differ in affinity, regulation and localisation: the PDE4 enzymes dominate in inflammatory and immune cells and are the target of drugs used in asthma, COPD and psoriasis, while PDE10A is enriched in striatal neurons and has been pursued in schizophrenia and Huntington disease. PDE7 and PDE8 forms act in lymphocytes and steroidogenic and endocrine tissue. Because cAMP governs secretion, contractility, metabolism and gene transcription, its degradation shapes responsiveness in essentially every tissue.	-	132	claude-opus-5	v4
go:GO:0006270	B repair	Before a cell divides it must copy its genome exactly once, and replication initiation is the step that decides where and when copying starts. Origin recognition complex subunits mark origins in G1, CDC6 and CDT1 load the MCM2-7 helicase to license them, and rising cyclin E-CDK2 activity together with CDC45, GINS and TOPBP1/TICRR converts licensed origins into unwound, primed forks where the polymerase alpha-primase complex lays down RNA-DNA primers. Licensing is confined to G1 by geminin, which sequesters CDT1, and by CRL4-DTL-mediated degradation of CDT1 after firing, so that no origin fires twice; loss of this restraint causes re-replication, amplification and genome instability of the kind that drives cancer. The same machinery is redeployed developmentally, as MCIDAS and GMNC direct centriole amplification in multiciliated cells.	-	125	claude-opus-5	v4
