key	arm	description	checks	words	model	prompt_version
btm:M113	A plain	Proteins gathered here share residence in the Golgi membrane, the sorting and finishing station where newly made proteins and lipids are glycosylated, modified and dispatched to their destinations. The set spans the main jobs done at that membrane: glycan elaboration by B3GNT5, which extends lacto/neolacto glycolipid chains, and CSGALNACT1, which initiates chondroitin sulfate chains on proteoglycan core proteins; lipid remodelling and headgroup transfer by LPCAT2 and by SGMS2, which synthesises sphingomyelin; cargo sorting by the receptor SORT1; and dedicated secretion machinery such as WLS, the carrier that loads lipid-modified Wnt ligands for release. Also present are secretory clients and membrane proteins in transit, including the growth factor PDGFC and the endosomal nucleic-acid sensor TLR8. Together they illustrate how Golgi membrane composition determines extracellular matrix quality, membrane lipid identity and the reach of secreted signals.	-	134	claude-opus-5	v4
btm:M215	A plain	Small GTPase mediated signal transduction converts receptor engagement into changes in the actin cytoskeleton, cell shape, adhesion and directed movement, and the genes here represent the Rho-family arm of that switching system as it operates in leukocytes. Rac2, RhoG and RhoH cycle between GDP- and GTP-bound states; a nucleotide exchange factor such as VAV1 loads GTP downstream of immune receptor signalling, while numerous Rho GTPase-activating proteins accelerate GTP hydrolysis to terminate the signal, and the guanine nucleotide dissociation inhibitors ARHGDIA and ARHGDIB sequester inactive GTPases in the cytosol. The balance of these opposing regulators sets how much and how long a cell can polarise, spread, phagocytose or migrate. Loss of RAC2 or VAV1 function compromises neutrophil chemotaxis, lymphocyte activation and immune synapse formation, and dysregulated Rho signalling contributes to invasive behaviour in cancer cells.	-	134	claude-opus-5	v4
go:GO:0000278	A plain	Cell proliferation depends on an ordered progression through the mitotic cell cycle — G1, S, G2 and M — in which the genome is replicated once and then partitioned equally into two daughter cells. The programme is driven by cyclin-dependent kinases paired with successive cyclins, restrained by CDK inhibitors such as p21 and p27 and by the retinoblastoma–E2F switch that licenses S-phase entry, and reset by ubiquitin-mediated destruction of cyclins and securin through the anaphase-promoting complex and SCF ligases. Origin licensing by MCM proteins, checkpoint kinases responding to DNA damage or replication stress, kinetochore and spindle assembly checkpoint components, condensin and cohesin, centrosomal and microtubule machinery, and ESCRT-dependent abscission at the cleavage furrow each govern a distinct step. Loss of these controls produces aneuploidy, genome instability and unchecked growth, which is why the pathway is central to cancer and to development.	-	141	claude-opus-5	v4
go:GO:0002286	A plain	When a T cell meets antigen presented on MHC together with costimulation, it changes shape, upregulates activation markers, proliferates and commits to an effector programme; this is the step that converts specific recognition into an actual immune response. The genes here span the antigen-presentation and costimulatory interface (HLA class II, CD74, CD80/CD86, ICOS and its ligand, ICAM1 and the integrin LFA-1), the cytokine and JAK-STAT circuitry that instructs lineage choice, and the transcription factors that define the resulting subsets — TBX21 for Th1, GATA3 for Th2, RORC for Th17, BCL6 for follicular helper and FOXP3 for regulatory T cells. Immunoproteasome subunits, IL-12/IL-23/IL-6 receptor components and negative regulators such as SOCS3, SMAD7 and the roquin proteins set the threshold and duration of the response. Too little yields immunodeficiency; unchecked activation drives autoimmunity and chronic inflammation.	-	134	claude-opus-5	v4
go:GO:0002291	A plain	T cells commit to an immune response only when their receptor engages a peptide displayed on MHC by an antigen-presenting cell, and this pathway covers the accessory contacts at that interface that decide whether the encounter activates, tunes down, or fails to move the T cell. It underlies antigen-specific adaptive immunity and, when misregulated, contributes to autoimmunity or to the exhausted, unresponsive T cells found in tumours and chronic infection. Adhesion and cytoskeletal components such as the integrin LFA-1 chain ITGAL, its ligand ICAM1, and the RAP1 effector APBB1IP stabilise the immunological synapse; HLA-DMB supports peptide loading onto class II MHC. Countering these are inhibitory inputs, notably the galectin-9/HAVCR2 axis and the MHC class I-binding receptor LILRB1, while TREM2 with its adaptor TYROBP and semaphorin-plexin contacts modulate the presenting cell side.	-	131	claude-opus-5	v4
go:GO:0002711	A plain	T cells only attack what they are shown, and this pathway covers the events that raise the strength, speed and reach of T cell mediated immunity. It matters for clearing intracellular pathogens and tumour cells, and its excess drives autoimmunity and inflammatory tissue damage. Antigen presentation supplies the trigger: classical class I and class II molecules together with beta-2 microglobulin and the peptide transporter, plus the lipid-presenting CD1 family and the metabolite-presenting MR1 that serve unconventional T cells. Stress-induced ULBP and RAET1 ligands and nectin-family surface proteins engage activating receptors, while costimulation and cytokines including IL-12, IL-18, IL-23, IL-1 and IL-6 push differentiation toward effector states, with T-bet and GATA3 fixing helper lineage choice. Adaptor and kinase components such as MALT1, TRAF6 and MAP3K7 carry receptor engagement into transcription, and FOXP3 marks the regulatory arm that counterbalances it.	-	138	claude-opus-5	v4
go:GO:0003044	A plain	Systemic arterial blood pressure is set moment to moment by circulating and locally released chemical signals acting on vessel tone, cardiac output and renal salt and water handling. This hormonal, autocrine and paracrine control is what keeps perfusion adequate on standing or after blood loss, and its derangement underlies essential hypertension, pre-eclampsia and heart failure. The renin-angiotensin-aldosterone axis dominates: renin cleaves angiotensinogen, angiotensin-converting enzyme generates angiotensin II for AT1 and AT2 receptors, while ACE2 and a Mas receptor arm oppose it and aldosterone synthase drives mineralocorticoid production. Vasopressin and oxytocin receptors, endothelins with their converting enzyme, adrenergic and dopaminergic receptors, substance P and tachykinin signalling, and thrombin-activated protease receptors add further inputs, balanced against endothelial nitric oxide synthase-derived vasodilation and modulated by NADPH oxidase-generated superoxide and mast cell proteases.	-	129	claude-opus-5	v4
go:GO:0006109	A plain	Cells and whole organisms must match glucose use and storage to fuel availability, and this collection captures the control layer over carbohydrate metabolism rather than its enzymatic steps. It sets whether glucose is burned, stored as glycogen, or made anew, and its failure underlies insulin resistance, type 2 diabetes and glycogen storage disease. Hormonal inputs dominate: insulin and glucagon acting through their receptors, IRS adaptors, AKT and GSK3, opposed by glucocorticoid, leptin and adiponectin signalling. Energy-sensing arms run through AMPK subunits, mTOR with RPTOR and MLST8, and sirtuins. Glycogen phosphatase targeting subunits of the PPP1R3 family direct PP1 onto glycogen enzymes, while pyruvate dehydrogenase kinases gate entry of pyruvate into oxidation. Transcriptional regulators including FOXO1, HIF1A, PPARGC1A, MLXIPL and TCF7L2, plus several microRNAs, provide slower adjustment of glycolytic and gluconeogenic gene expression.	-	132	claude-opus-5	v4
go:GO:0006198	A plain	Signals carried by cyclic AMP have to be terminated as well as started, and this pathway is the off switch: cyclic nucleotide phosphodiesterases hydrolyse cAMP to 5'-AMP, setting how high and how long a cAMP signal rises after a receptor engages adenylate cyclase. The rate of breakdown, more than the rate of synthesis, defines local cAMP gradients and therefore how much protein kinase A activity a cell experiences. The enzymes here are the cAMP-preferring families, differing in affinity, regulation and where they sit in the cell: PDE4 isoforms dominate in inflammatory and airway cells and are the target of anti-inflammatory inhibitors, PDE10A is enriched in striatal neurons and manipulated for psychiatric and movement disorders, and PDE8 forms contribute to steroidogenic and immune cell control. Loss of this catabolism leaves cells persistently stimulated, distorting metabolism, secretion and contractility.	-	137	claude-opus-5	v4
go:GO:0006270	A plain	Before a cell divides it must copy its genome exactly once, and replication initiation is the step that decides where and when copying starts. Origin recognition complex subunits mark origins in G1, CDC6 and CDT1 load the MCM2-7 helicase to license them, and rising cyclin E-CDK2 activity together with CDC45, GINS and TOPBP1/TICRR converts licensed origins into unwound, primed forks where the polymerase alpha-primase complex lays down RNA-DNA primers. Licensing is confined to G1 by geminin, which sequesters CDT1, and by CRL4-DTL-mediated degradation of CDT1 after firing, so that no origin fires twice; loss of this restraint causes re-replication, amplification and genome instability of the kind that drives cancer. The same machinery is redeployed developmentally, as MCIDAS and GMNC direct centriole amplification in multiciliated cells.	-	125	claude-opus-5	v4
