n	key	name	label	quote	reason	basis
1	btm:M215	small GTPase mediated signal transduction	unambiguous	Rac2, RhoG and RhoH cycle between GDP- and GTP-bound states	RHOH is an atypical Rho GTPase that lacks GTPase activity and is constitutively GTP-bound; it does not cycle between GDP/GTP states.	RHOH is a well-established atypical Rho GTPase: it lacks key catalytic residues, does not hydrolyze GTP, and is constitutively GTP-bound, regulated instead by expression level | The sentence explicitly lumps RhoH with Rac2 and RhoG as cycling GTPases, which is incorrect for RhoH | No reasonable reading rescues 'cycles between GDP- and GTP-bound states' for RhoH, though it is one of three claims in the sentence
2	go:GO:0006109	regulation of carbohydrate metabolic process	arguable	Hormonal inputs dominate: insulin and glucagon acting through their receptors, IRS adaptors, AKT and GSK3, opposed by glucocorticoid, leptin and adiponectin signalling.	Leptin and adiponectin are insulin-sensitizing and largely act in the same direction as insulin on glucose disposal, so grouping them as opposing insulin signalling misstates their effect.	Adiponectin and leptin are canonically insulin-sensitizing, so labeling them as opposing insulin signalling is misleading | However, leptin has counter-regulatory actions (suppresses insulin secretion, promotes lipolysis/gluconeogenesis) and adiponectin-AMPK opposes insulin-driven lipogenesis, giving the sentence a defensible reading | 'Opposed by' may also be read loosely as a separate hormonal axis rather than direct antagonism of insulin signalling
3	go:GO:0007492	endoderm development	arguable	Nodal and GDF signals acting through SMAD2/3 with SMAD4 drive the transition, opposed by the antagonists Noggin and DKK1, while BMP4 and FGF8 pattern the emerging sheet.	Noggin antagonizes BMP and DKK1 antagonizes Wnt; neither is an antagonist of Nodal/GDF–SMAD2/3 signalling as implied.	The flagged reason is factually correct about NOG (BMP antagonist) and DKK1 (Wnt antagonist) specificity | But the sentence's 'opposed by the antagonists' can be read as opposing the endoderm transition overall, not specifically Nodal/GDF-SMAD2/3 | Such compression is common in one-paragraph summaries, making the objection about implication rather than an outright false molecular claim
4	go:GO:0030073	insulin secretion	arguable	Calcium then drives fusion of insulin granules through SNARE and synaptotagmin machinery including STX1A, SNAP25 and RAB3A	RAB3A is a Rab GTPase, not SNARE or synaptotagmin machinery; minor mislabeling (SYT7 would be the synaptotagmin).	RAB3A is indeed a Rab GTPase, not a SNARE or synaptotagmin | However the sentence says 'machinery including', a loose grouping of exocytotic fusion machinery, which RAB3A plausibly belongs to | Flag's own reason calls it 'minor mislabeling'
5	go:GO:0042220	response to cocaine	arguable	Stress and neuropeptide components -- corticotropin-releasing hormone and its binding protein, oxytocin, CART, prochineurin/nociceptin and kappa-opioid receptor -- link drug exposure to stress axis activity and negative affect during withdrawal.	PNOC is prepronociceptin (nociceptin/orphanin FQ precursor); 'prochineurin' conflates it with prokineticin, an unrelated peptide.	PNOC is indeed prepronociceptin, and 'prochineurin' is not a real gene name and evokes prokineticin | however the sentence pairs it with the correct 'nociceptin', so the intended identity is conveyed and the error reads as a naming/typo slip rather than a wrong molecular claim | all other claims in the sentence (CRH, CRHBP, OXT, CARTPT, OPRK1 roles in stress and withdrawal negative affect) are accurate
6	go:GO:0045723	positive regulation of fatty acid biosynthetic process	unambiguous	Also represented are secreted modifiers of lipoprotein handling and lipid delivery, including APOA5, APOC2 and GPIHBP1	GPIHBP1 is a GPI-anchored endothelial cell-surface protein that shuttles LPL, not a secreted protein.	GPIHBP1 is a GPI-anchored endothelial cell-surface protein, not a secreted factor | APOA5 and APOC2 are correctly secreted apolipoproteins, so only GPIHBP1's classification is wrong, but it is plainly wrong | GPIHBP1 does function in lipoprotein handling, yet the sentence's 'secreted' designation is incorrect
7	go:GO:0048340	paraxial mesoderm morphogenesis	unambiguous	and bone morphogenetic protein input via BMPR1A relayed by SMAD2 and SMAD3	BMPR1A signals through SMAD1/5/8; SMAD2/3 are effectors of TGF-beta/Nodal/activin receptors.	BMPR1A is a type I BMP receptor signaling canonically through SMAD1/5/8, not SMAD2/3 | SMAD2/3 are TGF-beta/activin/Nodal effectors; the stated relay is a clear molecular misassignment | Reported crosstalk is marginal and does not support the sentence as written
8	go:GO:1902165	regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	unambiguous	ZNF385A biases transcription toward apoptotic targets	ZNF385A (HZF) preferentially promotes p53 transactivation of cell-cycle arrest genes (e.g., p21) while suppressing apoptotic targets, the opposite direction.	ZNF385A/HZF is documented to preferentially enhance p53 transactivation of pro-arrest genes (p21, MDM2) and suppress pro-apoptotic targets (PUMA, BAX) | The flagged sentence states the opposite direction of effect | Direction of effect errors are clear-cut, no defensible reading
9	go:GO:1903294	regulation of glutamate secretion, neurotransmission	arguable	RAB3GAP1 acts on Rab3 GTPases that govern vesicle exocytosis	RAB3GAP1 is the catalytic subunit of the Rab3 GTPase-activating protein complex, which stimulates GTP hydrolysis (inactivating Rab3); saying it 'acts on Rab3' is broadly right but the description is acceptable — borderline; noted as arguable.	Sentence states RAB3GAP1 acts on Rab3 GTPases involved in vesicle exocytosis, which is correct | Flag's own reason concedes the description is acceptable and self-labels as arguable
10	go:GO:1905203	regulation of connective tissue replacement	unambiguous	miR-21-related regulators, miR-199 and miR-214, tunes these circuits post-transcriptionally	No miR-21 gene is in the set; the remaining miRNAs are miR-17, miR-195 and miR-199A1/B, not miR-21-related.	miR-21 is not in the gene set | miR-199 and miR-214 are co-transcribed cluster members, not miR-21 family/related | Mislabeling them as 'miR-21-related' is a factual identity error with no defensible reading
