key	model	description
reactome:R-HSA-168799	gpt-5-6-thinking	Clostridial neurotoxicity is the interruption of neurotransmitter release by botulinum and tetanus toxins after they enter neurons. The resulting paralysis takes different forms: botulinum toxins silence motor nerve terminals and cause flaccid weakness, whereas tetanus toxin disrupts inhibitory signalling in spinal circuits and produces sustained muscle contractions. Toxins bind neuronal membrane components, including exposed synaptic vesicle proteins such as SV2 or synaptotagmin, and enter through vesicle recycling. Acidification permits their protease domain to reach the cytosol, where it cleaves selected SNARE proteins: SNAP25, syntaxin or VAMP, depending on the toxin. These proteins normally bring synaptic vesicles and the plasma membrane together for fusion, so their cleavage prevents neurotransmitter release even when a nerve impulse arrives.
reactome:R-HSA-5250955	gpt-5-6-thinking	Botulinum toxin type D toxicity disrupts communication between nerve cells and their targets by preventing synaptic vesicles from releasing neurotransmitters. At motor nerve terminals, this can block acetylcholine release and cause flaccid paralysis, although type D is only rarely associated with human botulism and its route from the human gut into circulation is not established. The toxin binds neuronal gangliosides and synaptic vesicle protein 2 (SV2), enters through vesicle uptake, and delivers its light chain into the cytosol. This protease cleaves VAMP1 and VAMP2, vesicle membrane proteins required for fusion with the presynaptic membrane. Without these components, neurotransmitter-filled vesicles cannot discharge their contents, interrupting chemical signalling across the synapse despite continued neuronal activity.
reactome:R-HSA-5250958	gpt-5-6-thinking	Botulinum toxin type B causes botulism by stopping motor neurons from releasing acetylcholine, leaving muscles unable to contract and, in severe cases, impairing breathing. After ingestion, a protective protein complex helps the toxin survive the gut and cross the intestinal lining into circulation. At nerve terminals, its heavy chain binds membrane gangliosides and synaptotagmin proteins SYT1 and SYT2 exposed during synaptic vesicle recycling. The toxin is taken into an acidifying vesicle, allowing its light chain to enter the cytosol. This protease cleaves VAMP2, a vesicle protein needed for fusion with the presynaptic membrane. Neurotransmitter-filled vesicles can no longer discharge their contents, producing prolonged flaccid paralysis until functional release machinery is restored.
reactome:R-HSA-5250968	gpt-5-6-thinking	Botulinum toxin type A causes botulism by stopping acetylcholine release from motor nerve endings, leaving muscles unable to contract and potentially causing respiratory paralysis. After ingestion, associated bacterial proteins protect the toxin in the gut and help it cross the intestinal epithelium into the circulation. At nerve terminals, the toxin binds gangliosides and synaptic vesicle proteins SV2A, SV2B or SV2C exposed during vesicle recycling, then enters acidifying vesicles. Acidification allows the heavy chain to deliver the light chain into the cytosol, where it cleaves SNAP25. Because SNAP25 is part of the machinery that fuses synaptic vesicles with the plasma membrane, its cleavage prevents neurotransmitter exocytosis despite continued nerve activity. The result is failure of neuromuscular transmission rather than direct muscle damage.
reactome:R-HSA-5250971	gpt-5-6-thinking	Botulinum toxin type C poisoning disables neurotransmitter release by preventing synaptic vesicles from fusing with neuronal membranes. At motor nerve terminals, loss of acetylcholine secretion can produce flaccid paralysis, although type C is only rarely implicated in human botulism. The toxin binds neuronal surface gangliosides, enters through vesicular uptake, and delivers its proteolytic light chain into the cytosol. This protease cleaves SNAP25 and the syntaxin 1 proteins encoded by STX1A and STX1B, disrupting the SNARE machinery that couples synaptic vesicles to membrane fusion. Without functional fusion machinery, electrical impulses reach nerve terminals but cannot trigger normal neurotransmitter secretion. The cellular mechanism of toxicity is established, whereas a route by which this toxin enters the human circulation from the gut has not been defined.
reactome:R-HSA-5250981	gpt-5-6-thinking	Botulinum neurotoxin type F blocks neurotransmitter release from nerve terminals, preventing muscles from receiving signals to contract. Its action can produce flaccid paralysis and, if respiratory muscles are affected, respiratory failure, although type F is an uncommon cause of human botulism. The toxin binds neuronal surface gangliosides and synaptic vesicle protein 2 (SV2), then enters nerve terminals through synaptic vesicle recycling. Vesicle acidification enables its light chain to reach the cytosol, where it cleaves VAMP1 and VAMP2, proteins required for synaptic vesicle fusion with the presynaptic membrane. Disabling this fusion machinery prevents acetylcholine release at neuromuscular junctions, interrupting communication between motor neurons and muscle without directly damaging the muscle itself.
reactome:R-HSA-5250989	gpt-5-6-thinking	Botulinum neurotoxin type G disables neurotransmitter release from neurons, a mechanism capable of interrupting communication between motor nerves and muscle. If sufficient toxin reaches motor nerve terminals, loss of acetylcholine secretion can cause flaccid paralysis, although type G is rarely associated with human disease and a route from the gut into circulation has not been established. The toxin binds neuronal gangliosides and synaptotagmin 1 (SYT1), enters synaptic vesicles, and delivers its light chain into the cytosol. This protease cleaves VAMP1 and VAMP2, vesicle-associated proteins required for membrane fusion, preventing synaptic vesicles from releasing their neurotransmitter. The resulting disruption of vesicle fusion blocks chemical synaptic transmission without requiring destruction of the affected neuron.
reactome:R-HSA-5250992	gpt-5-6-thinking	Botulinum toxin type E causes flaccid paralysis by preventing motor neurons from releasing acetylcholine at neuromuscular junctions, leaving muscles unable to contract. Severe intoxication can compromise breathing. After ingestion in contaminated food, the toxin is protected during passage through the gut, crosses the intestinal epithelium, and reaches peripheral nerve terminals through the circulation. Its heavy chain binds neuronal gangliosides and synaptic vesicle proteins SV2A and SV2B exposed during vesicle recycling. Endocytosis and vesicle acidification allow the light chain to cross into the neuronal cytosol, where reduction of an interchain disulfide releases it. The light chain then cleaves SNAP25, a component of the membrane fusion machinery, blocking synaptic vesicle exocytosis and neurotransmitter release.
reactome:R-HSA-9682706	gpt-5-6-thinking	Replication of the SARS-CoV-1 genome produces new viral RNA for packaging into infectious particles and sustains the RNA templates used to make viral proteins. Without this copying step, infection cannot propagate between cells. After entry, the positive-sense RNA genome is copied into a complementary negative strand by a membrane-associated viral replication-transcription complex. This negative strand then serves as a template for new positive-sense genomes and subgenomic RNAs. The viral polymerase carries out RNA synthesis, a helicase resolves RNA structures, and proofreading exonuclease activity limits copying errors. Viral RNA capping supports RNA stability and helps shield it from host innate immune detection. Host proteins involved in RNA processing and cellular regulation provide the environment in which this viral machinery operates.
reactome:R-HSA-9683610	gpt-5-6-thinking	Viral nucleoprotein maturation prepares an abundant structural protein for genome packaging and production of new virus particles. Disruption of this process can prevent nucleoprotein from reaching the assembly site and impair virion formation. During infection, nucleoprotein is present in the cytosol and at the plasma membrane before undergoing phosphorylation and SUMO modification. GSK3-family kinases participate in phosphorylation, while UBE2I is the conjugating enzyme that attaches SUMO1 to target proteins. These modifications promote nucleoprotein trimerization and its movement to the Golgi, where viral budding occurs. PARP-family proteins connect this process with host ADP-ribosylation machinery, which regulates protein function during infection. Together, these modification and trafficking steps prepare nucleoprotein for incorporation into assembling virions, connecting host protein-processing machinery to viral particle production.
