key	arm	description	checks	words	model	prompt_version
btm:M129	B repair	Inositol phosphate metabolism generates and recycles the phosphorylated inositol species that mark membranes for identity and release calcium-mobilising second messengers. Its outputs govern how vesicles are sorted, how endosomes and autophagosomes mature, and how receptor signalling is terminated, so cells depend on it for membrane traffic as much as for signal transduction. Lipid kinases such as PIK3C2A, the class III enzyme PIK3C3 and the 5-kinase PIKFYVE phosphorylate inositol head groups on endosomal and autophagic membranes, while the polyphosphoinositide phosphatase synaptojanin removes phosphates to drive clathrin uncoating at synapses, and inositol monophosphatase completes the cycle by freeing myo-inositol for resynthesis. Loss of this turnover is damaging in neurons in particular: synaptojanin mutations cause parkinsonism and epileptic encephalopathy, and lithium acts partly by inhibiting the monophosphatase step.	-	125	claude-opus-5	v4
btm:M177.0	B repair	A mixed immune-expression module centred on mononuclear leukocyte identity and trafficking, combining chemokine receptors, GTPase-of-immunity-associated proteins and transcriptional regulators. Monocyte and macrophage recruitment to inflamed tissue depends on CCR2 and CX3CR1, whose ligands direct patrolling and infiltrating cells to vessel walls and injured sites; loss of this axis blunts inflammatory monocyte egress from bone marrow and reshapes atherosclerotic and neuroinflammatory disease. The GIMAP proteins act in lymphocyte survival and homeostasis, linking the set to T cell persistence as well as myeloid function. Signalling and feedback components include the IL-1 receptor accessory protein required for interleukin-1 responses, the MAPK phosphatase DUSP4 that dampens kinase output, the TNF-family receptor FN14, and the immediate-early factor NR4A3. Numerous KRAB-type zinc finger proteins and the repressor HIC1 suggest accompanying transcriptional control, alongside metabolic and autophagy-related members.	-	131	claude-opus-5	v4
btm:M4.14	B repair	Rho family GTPases switch between GDP- and GTP-bound states to control actin and myosin behaviour, and the cycling of that switch is what makes cell shape change and division possible. The genes here connect this cycle to mitosis: ECT2 acts as an activator that loads GTP onto RhoA at the equatorial cortex, while RACGAP1, its partner in the centralspindlin complex, restrains Rac and helps position that signal between the separating chromosomes. Several GTPase-activating proteins, including ARHGAP11A and ARHGAP19, return Rho proteins to the off state, so cortical contractility is confined in space and time. PRC1 bundles antiparallel midzone microtubules and CEP55 contributes to abscission, while E2F2 links the whole programme to cell cycle transcription. The pathway therefore ties Rho nucleotide cycling to furrow ingression and the completion of cytokinesis.	-	129	claude-opus-5	v4
btm:M4.7	B repair	Progression through the mitotic cell cycle is how a cell duplicates its chromosomes and partitions them into two daughters, and the genes here mark the commitment to divide and the machinery that executes division. Mitotic cyclins pair with CDK1 to drive entry into mitosis; the activating phosphatases CDC25A and CDC25C oppose the inhibitory kinase PKMYT1, so that entry is switch-like and occurs only once replication is complete. FOXM1 sustains transcription of the mitotic programme, PLK1 coordinates spindle assembly and mitotic exit, while PLK4 and the centrosomal CEP proteins license centriole duplication so that exactly one bipolar spindle forms. Microtubule and kinetochore factors such as gamma-tubulin, CKAP5 and NEK2, together with shugoshin-mediated protection of centromeric cohesion, ensure accurate chromosome segregation. Loss of control at these steps yields aneuploidy, mitotic catastrophe or unchecked proliferation.	-	132	claude-opus-5	v4
btm:M51	B repair	Cells attach to each other and to the matrix around them, and this cell adhesion programme supplies both the ligands and the receptors that make those contacts. It underlies tissue architecture, wound healing, leukocyte recruitment and platelet plug formation, and its dysregulation contributes to fibrosis, thrombosis and tumour invasion. Fibrillar and network collagens together with fibronectin, laminins, nidogen, tenascin, periostin and thrombospondins build the adhesive substrate, while integrins such as the platelet fibrinogen receptor pair ITGA2B/ITGB3, the von Willebrand factor receptor complex GP1BA/GP9, and endothelial adhesion molecules VCAM1, SELP and junctional JAM3/ESAM mediate binding under flow. Chemokines CXCL12 and IL8 and the cytokine IL1B activate these receptors on circulating cells, and SNAI2 links the same machinery to epithelial-mesenchymal transition, coupling adhesion to migration and matrix remodelling.	-	126	claude-opus-5	v4
btm:M66	B repair	These genes outline the differentiated macrophage phenotype: the receptors, enzymes and transporters that let a tissue macrophage sense, ingest and degrade material and then shape the local immune tone. Phagocytic signalling runs through the Fc receptor gamma chain and the kinase BTK, while CYBB supplies the catalytic subunit of the phagocyte NADPH oxidase that generates microbicidal superoxide; its loss causes chronic granulomatous disease. Degradative and secreted components such as CPVL, IFI30 and cystatin C act in the lysosomal and extracellular compartments. A second arm is immunoregulatory and metabolic: IDO1, KMO and KYNU catabolise tryptophan along the kynurenine route, dampening T cell responses, and heme oxygenase 1 together with copper and amino acid transporters handles the iron, copper and arginine flux of heme turnover. MAFB is among the transcription factors associated with macrophage differentiation.	-	133	claude-opus-5	v4
btm:M69	B repair	This grouping captures the transcriptional signature of mature B cells, the antibody-producing lineage of adaptive immunity, and its members are the surface proteins by which B cells are recognised and therapeutically targeted. The core is the antigen receptor complex and its immediate modulators: CD79A and CD79B transmit immunoglobulin engagement into intracellular signalling, while CD19 amplifies that signal and CD22, CD72 and BTLA restrain it, setting the threshold at which a B cell responds to antigen rather than ignoring it or reacting to self. Complement receptor CR2 links innate opsonisation to B cell activation, CXCR5 directs homing into follicles and germinal centres, and HLA-DOB tunes peptide loading for presentation to helper T cells. MS4A1, the CD20 target of depleting antibodies, and Fc receptor-like proteins complete a profile that distinguishes B cells in tissue and blood expression data.	-	136	claude-opus-5	v4
btm:M72.1	B repair	A mixed group of broadly expressed regulators that keep housekeeping functions of the cell running: chromatin-associated and transcriptional components, RNA-binding proteins, and machinery for endosomal membrane traffic and cytoskeletal contractility. Several members act on gene expression — a chromatin-interacting subunit of a histone deacetylase-containing repressor complex, a cyclin partner of the CDK8 kinase module of Mediator, and the zinc-finger transcription factor SP3. Others control the fate of mRNAs after they are made: MBNL1 governs alternative splicing of muscle and neuronal transcripts, FMR1 represses translation at synapses and its loss causes fragile X syndrome, and G3BP2 nucleates stress granules when translation stalls. A third arm handles membranes and organelles, including the ESCRT-associated ATPase VPS4B in multivesicular body formation, a phosphoinositide phosphatase acting at the Golgi and ER, and a myosin phosphatase targeting subunit that tunes actomyosin tension.	-	136	claude-opus-5	v4
btm:M95.1	B repair	This grouping captures the machinery and cellular context of MHC class II antigen presentation, the route by which peptides derived from internalised material are displayed to CD4 T cells to initiate and shape adaptive immune responses. The core is the HLA-DR heterodimer together with its several beta-chain loci, and the HLA-DM chaperone that catalyses removal of CLIP and edits the peptide repertoire toward stable, high-affinity ligands. Around them sit the surface and adaptor proteins of professional presenting cells and other leukocytes: ICAM1 and the beta-2 integrin chain ITGB2 provide the adhesion needed to form a stable contact with the responding T cell, while PTPRC (CD45), CD53, LAPTM5 and intracellular adaptors including AIF1, FYB and PLEK support receptor signalling and membrane trafficking in immune cells. Expression of this programme largely defines antigen-presenting and haematopoietic identity in tissue transcriptomes.	-	137	claude-opus-5	v4
go:GO:0002408	B repair	Myeloid dendritic cells that have taken up antigen in peripheral tissues must travel to draining lymph nodes to meet naive T cells, and this directed migration is what the pathway describes: movement of a myeloid dendritic cell along a chemical gradient. The core of it is a chemokine receptor and its two ligands, produced by lymphatic endothelium and stromal cells of lymphoid tissue, which guide cells into lymphatic vessels and into T cell zones. Receptor engagement is translated into polarised actin remodelling through Rho-family guanine nucleotide exchange activity, giving the cell a leading edge oriented up the gradient. The myeloid transcription factor SPI1 places this behaviour in the context of dendritic cell identity and development. The pathway therefore links innate antigen capture to the initiation of adaptive immune responses, and belongs to the wider biology of leukocyte chemotaxis and lymphoid tissue organisation.	-	142	claude-opus-5	v4
