key	description_generated	description_generated_from	genes_shown	model	prompt_version	status
btm:M0	FOSL1 and FOSL2 are Fra-1 and Fra-2, AP-1 family partners of the Jun proteins, and the genes collected here are the transcriptional output they drive at AP-1 sites in promoters. The programme is one of tissue remodelling and inflammation: secreted cytokines and chemokines such as IL6, IL8, LIF and CCL2 recruit and activate leukocytes, while matrix metalloproteinases and the plasminogen activator PLAU degrade extracellular matrix and basement membrane. Structural and matrix-associated products including collagen, decorin and matrix Gla protein, together with the endothelial cofactor thrombomodulin, place this output in wound healing, fibrosis and vascular biology. Because the same genes support motility and invasion, sustained Fra-1 or Fra-2 activity downstream of growth factor and stress signalling contributes to tumour invasiveness, epithelial-mesenchymal transition and chronic inflammatory disease, whereas transient induction serves repair after injury.	name+genes	12	claude-opus-5	v4	current
btm:M1.0	Integrins are the principal receptors by which cells grip the extracellular matrix, and the interactions at the cell surface described here couple that grip to intracellular signalling, shape and survival. The set pairs matrix ligands — fibrillar and basement membrane collagens, fibronectin, laminin chains, tenascin — with the receptors that read them, notably the fibronectin receptor ITGA5 and the αV and β 3 subunits used by platelets and by angiogenic endothelium. Engagement clusters focal adhesion kinase, drives actomyosin contractility through myosin light chain, and cooperates with growth factor receptors such as EGFR, MET, KDR and the PDGF receptors, so adhesion and mitogenic signalling reinforce one another and gate cell cycle entry. This adhesive crosstalk underlies wound healing, platelet aggregation, vessel formation and the invasive, stiffened matrix of fibrosis and tumours; loss of the platelet αIIbβ 3 receptor causes a bleeding disorder.	name+genes	29	claude-opus-5	v4	current
btm:M1.1	Integrins read the extracellular matrix, and this collection represents the ligand side of those cell surface interactions: fibrillar collagen I, basement membrane collagen IV and laminins, fibronectin, fibrillin, tenascin C and von Willebrand factor. Engagement of these ligands anchors cells to their substratum, establishes basement membrane polarity beneath epithelia and endothelia, and converts matrix contact into signals for survival, spreading and directed migration during development, wound repair and angiogenesis. Von Willebrand factor additionally captures platelets at sites of vessel injury, linking the same adhesive chemistry to haemostasis. Because these proteins are both structural scaffold and receptor ligand, their mutation causes disease of tissue integrity rather than of signalling alone: collagen I defects give brittle bone, collagen IV defects hereditary nephritis, and fibrillin defects the connective tissue fragility of Marfan syndrome.	name+genes	12	claude-opus-5	v4	current
btm:M10.0	Genes induced when the transcription factor E2F1 is active, the state that commits a cell to duplicate its genome at the G1-to-S transition. This output explains why E2F1 sits at the centre of cell cycle control downstream of RB and CDK4/6 activity, and why its deregulation in tumours produces unscheduled proliferation and replication stress. The targets read as a replication toolkit: CDC6 and the MCM2/4/6 helicase subunits license and unwind origins, PCNA, POLE2 and RFC1 build and sustain the replication fork, DCK and UNG feed nucleotide supply and base excision repair, and RAD51 handles recombinational repair of damaged forks. Alongside them are brakes and timers, including WEE1, the licensing inhibitor geminin, the APC/C inhibitor FBXO5 and the repressive E2F7, so the same wave that starts S phase also restricts it to one round.	name+genes	33	claude-opus-5	v4	current
btm:M10.1	These genes are among the transcripts most strongly induced by E2F1, the transcription factor released when retinoblastoma protein is phosphorylated at the G1/S transition, and together they describe what a cell buys with that decision: the capacity to replicate its genome. Licensing and replisome components such as CDC6, MCM4, PCNA and the DNA polymerase alpha-primase subunits POLA2 and PRIM1 are switched on ahead of S phase, alongside histone supply through SLBP and NASP, homologous recombination via RAD51, and DNA damage processing. Mitotic and checkpoint regulators including WEE1, PKMYT1, FBXO5, SKP2 and the kinetochore component KNTC1 couple replication to the following division, while E2F7 provides negative feedback. Because RB-E2F control is disrupted in most human cancers, persistent expression of this programme is a signature of proliferating and transformed cells and a driver of replication stress.	name+genes	21	claude-opus-5	v4	current
btm:M100	Growth factor, antigen and cytokine receptors convert ligand binding into changes in proliferation, differentiation and cytoskeletal behaviour largely through small GTPases of the RAS family and the kinase cascades they trigger, and this RAS/MAPK signalling axis is the route by which such signals reach the nucleus. Its components are among the most frequently mutated in cancer, and gain-of-function lesions in the cascade also cause developmental disorders. Here the module includes guanine nucleotide exchange factors that load RAS-family and RAP GTPases in haematopoietic cells, the RAC GTPase that links signalling to actin remodelling, upstream MAP3K and MAP4K kinases, and MAP2K2, the MEK-level kinase that phosphorylates ERK. Also represented are parallel and modulatory inputs — AKT1 for survival signalling, TGFB1 as an extracellular cue, and scaffolding through filamin A and β-arrestin, which couples receptor desensitisation to kinase activation.	name+genes	10	claude-opus-5	v4	current
btm:M101	Phosphoinositides are minor membrane lipids whose phosphorylation state marks compartments and recruits effectors, and the phosphatidylinositol signaling system covers the kinases, phosphatases and inositol phosphate enzymes that write and erase those marks. It governs vesicle traffic, endosome and autophagosome identity, receptor signalling and calcium release, so its disruption produces defects in membrane turnover and synaptic recycling. Class II and class III PI 3-kinases, represented here by PIK3C2A and PIK3C3, generate PI3P pools that nucleate endosomal and autophagic machinery, PIKFYVE converts PI3P to PI(3,5)P2 for late endosome and lysosome maturation, and the synaptic polyphosphoinositide phosphatase SYNJ1 dephosphorylates PI(4,5)P2 to uncoat vesicles, with mutations causing early-onset parkinsonism. Inositol monophosphatase recycles free inositol for resynthesis of the lipid, a step inhibited by lithium, linking this route to neuronal signalling and mood stabilisation.	name+genes	14	claude-opus-5	v4	current
btm:M102	The strongest signal in this group is a mature B lymphocyte identity programme: CD79A forms the signal-transducing module of the B cell antigen receptor, STAP1 is a B cell adaptor that couples receptor engagement to downstream kinases, BTLA is an inhibitory receptor that raises the threshold for lymphocyte activation, and P2RX5 and prepronociceptin are expressed in B lineage cells and used to distinguish them. Together these support antigen recognition, tuned activation and the restraint that prevents autoreactivity. Alongside them sit components of cell-surface signalling and adhesion more broadly — caveolin-2 and the angiomotin-family scaffold AMOTL2 at membrane and junctional sites, a G protein gamma subunit, the growth hormone receptor, and SMAD1 carrying bone morphogenetic protein signals to the nucleus, with the secreted BMP antagonist chordin-like 1 opposing them. The set thus mixes lymphocyte receptor signalling with receptor-mediated growth and morphogenetic control.</description>	genes	12	claude-opus-5	v4	current
btm:M103	Orderly duplication and division of a cell depends on the cyclin-CDK engine described here, together with the checkpoints that license each transition only once. Cyclin D-CDK4 and cyclin E-CDK2 relieve repression of E2F-dependent transcription, allowing entry into S phase; the MCM2-7 helicase complex, CDC6 and CDC45 license and fire replication origins, with CDC7-DBF4 driving initiation and PCNA supporting the replication machinery. Cyclin A- and cyclin B-CDK1 activity drives mitosis, held in check by WEE1 and PKMYT1 phosphorylation and released by CDC25 phosphatases. The spindle assembly checkpoint proteins BUB1, BUB1B and MAD2L1 restrain the anaphase-promoting complex until chromosomes are attached, after which separase cleaves cohesin to allow segregation. ATR-CHEK1 and CHEK2 signalling and the CDK inhibitors p21, p27 and p16 arrest cycling after DNA damage; their loss underlies genomic instability and tumour growth.	name+genes	51	claude-opus-5	v4	current
btm:M104	These genes mark the megakaryocyte-platelet arm of haematopoiesis and the signalling that supports it. Platelet factor 4 is the archetypal alpha-granule chemokine released on platelet activation, junction plakoglobin anchors the cytoskeletal junctions and desmosomal-type adhesion used by these cells, and the G protein alpha-z subunit couples platelet ADP and adrenergic receptors to inhibition of adenylate cyclase, lowering cyclic AMP to permit aggregation. Monoacylglycerol lipase supplies arachidonic acid for eicosanoid production in the same setting. Alongside them sit regulators of progenitor commitment and marrow stromal support: the transcription factors MEF2C and ZNF423, the chromatin-associated MLLT3, and PDGFRA with the secreted modulators CRIM1 and FSTL1, which tune growth factor and BMP/TGF-beta input. Together the set describes how progenitors are specified toward thrombopoiesis and how the resulting platelets achieve haemostasis; its failure underlies bleeding and thrombotic disorders.	genes	10	claude-opus-5	v4	current
