theme_key	name	nameable	rationale	n_members	kind	example_node	checks_failed	model	prompt_version	status
003b373593cd31ba	Vesicular trafficking to endosomes and lysosomes	true	No collision with parent or siblings; name is distinct and specific.	12	internal	n0308		claude-sonnet-5	name-v2	current
0047ad8360cd4aa3	Drug-resistant FLT3 mutants	true	No siblings, and the name is already more specific than the parent by naming the specific receptor tyrosine kinase (FLT3).	4	leaf	n0021		claude-sonnet-5	name-v2	current
00823af43b50ab71	Mesangial cell differentiation and matrix formation	true	Overlapped with parent 'Glomerular capillary development and filtration' via shared 'capillary development' wording; narrowed to mesangial cell differentiation/matrix aspects, distinguishing from PDGF receptor signalling sibling which covers precursor signalling specifically.	6	leaf	n0128		claude-sonnet-5	name-v2	current
0089caaca9195d64	Notch, Wnt and Hedgehog signalling in development	true	Both children and all members concern Notch/Wnt/Hedgehog receptor processing and transcriptional output as it patterns organs and tissues; no direct members extend beyond this developmental signalling axis.	24	internal	n0512	in_range;sentence_case	claude-sonnet-5	name-v2	current
00b35a7c4b9b2b34	mRNA transcription and splicing coupling	true	Distinct from parent (RNA processing and turnover) and sibling (RNA metabolism and transcription); specifically names the coupling of transcription and splicing, which neither neighbor conveys.	15	internal	n0319		claude-sonnet-5	name-v2	current
00b73eabdc46bae7	TGF-beta superfamily signalling regulation	true	No siblings present and name is more specific than parent, distinguishing regulatory aspect from general receptor signalling.	9	internal	n0280		claude-sonnet-5	name-v2	current
00f8b769700f8862	Beta cell transcriptional identity	true	Overlaps with sibling 'Pancreatic beta cell development and function' and 'Insulin and incretin secretion'; narrowing to transcriptional identity maintenance distinguishes it from secretion-focused and developmental siblings.	6	leaf	n0276		claude-sonnet-5	name-v2	current
01028b9b430c645f	Transcription-coupled nucleotide excision repair	true	Repeated generic parent concept 'DNA repair' too broadly; renamed to match the specific transcription-coupled NER mechanism of the parent theme.	5	leaf	n0115		claude-sonnet-5	name-v2	current
013584c0bbe98848	Cardiomyocyte and skeletal myoblast proliferation	true	Overlapped with 'Muscle tissue growth and remodelling' and 'Skeletal muscle development and regeneration'; narrowed to proliferation of specific muscle cell types rather than general growth/remodelling.	15	internal	n0715		claude-sonnet-5	name-v2	current
028856539fa9570c	Microtubule-based mitochondria and lysosome transport	true	Too similar to sibling 'Microtubule-based organelle and vesicle transport'; specifying the organelle types (mitochondria, lysosomes) distinguishes it from vesicle-focused transport.	6	leaf	n0335		claude-sonnet-5	name-v2	current
02ab4a77050a159a	Mitochondrial urea and cofactor metabolism	true	Overlapped with sibling 'Amino acid, nucleobase and vitamin B6 metabolism' via shared 'amino acid' scope; narrowed to mitochondrial-specific urea cycle and cofactor processes to distinguish from sibling's cytosolic amino acid/vitamin focus.	15	internal	n0460		claude-sonnet-5	name-v2	current
0371256724d84a7c	Mitochondrial protein import and cristae architecture	true	Distinct from parent (biogenesis/mitophagy) and siblings (general maintenance/QC, autophagic clearance); specifically names protein import and cristae architecture.	8	leaf	n0421		claude-sonnet-5	name-v2	current
03c48a5dd24f9af7	Calcium and chloride ion transport	true	Overlapped with siblings 'Sodium and potassium ion transport' and 'Metal ion homeostasis and cellular stress response'; narrowing to the specific ions distinguishes it.	8	leaf	n0609		claude-sonnet-5	name-v2	current
03dbdcb36e9fbfef	Protein folding and turnover	true	Union covers chaperone-mediated folding of proteins and tubulin plus ubiquitin-proteasome degradation, deacetylation and related proteostasis machinery; the smallest umbrella spanning both children without invoking unrelated biology.	29	internal	n0367		claude-sonnet-5	name-v2	current
