key	arm	description	checks	words	model	prompt_version
btm:M113	C pre-check	Grouped here are membrane proteins of the Golgi apparatus, the sorting and finishing station through which newly made proteins and lipids pass on their way to the cell surface, secretion or the endolysosomal system. Much of the chemistry that distinguishes one glycan or lipid from another happens on these membranes: a beta-1,3-N-acetylglucosaminyltransferase builds lacto-series glycosphingolipid cores, and a GalNAc transferase initiates chondroitin sulfate chains on proteoglycans destined for the extracellular matrix. Alongside the biosynthetic enzymes sit cargo receptors that decide where material goes — sortilin directing traffic out of the trans-Golgi network toward endosomes, and Wntless escorting lipid-modified Wnt ligands to the surface so that developmental signalling can occur at all. Secreted growth factors, sphingolipid- and phospholipid-modifying enzymes, and receptors bound for endosomal compartments all transit this same machinery, linking Golgi membrane identity to secretion, matrix formation and intercellular signalling.	B3GNT5 — beta-1,3-N-acetylglucosaminyltransferase, Golgi, makes lacto/neolacto glycosphingolipid core (Lc3); in list; identity/direction/substrate OK. | CSGALNACT1 — chondroitin sulfate GalNAc transferase 1, initiates/elongates CS chains on proteoglycan linkage region, Golgi; in list; OK. | SORT1 — sortilin, trans-Golgi network sorting receptor trafficking cargo to endosomes/lysosomes and regulating PCSK9/lipoprotein handling; in list; described as sorting receptor only, no directional overclaim. | WLS — Wntless/Evi, cargo receptor carrying palmitoleated Wnt from Golgi to cell surface, recycled via retromer; in list; OK. | SGMS2 — sphingomyelin synthase 2, transfers phosphocholine from PC to ceramide; family member SGMS1 is Golgi-resident, SGMS2 mainly plasma membrane. Will state sphingomyelin synthesis generally without claiming Golgi localisation for SGMS2. | LPCAT2 — lysophosphatidylcholine acyltransferase, remodels phospholipids/PAF synthesis; in list; stated generally as lipid acyltransferase. | PDGFC — secreted platelet-derived growth factor C, secretory cargo; in list; described as secreted cargo, not as Golgi enzyme. | STEAP4 — metalloreductase (iron/copper reductase), in list; mentioned only as membrane protein, no strong claim. | TLR8 — endosomal Toll-like receptor sensing ssRNA, traffics through secretory pathway; in list; claim limited to trafficking/endosomal sensing. | FAM198B (GASK1B) — Golgi-associated secreted/kinase-like protein of poorly defined function; in list; no mechanistic claim made. | Dropped: any claim of tissue restriction, and any specific role for STEAP4/FAM198B beyond membership.	140	claude-opus-5	v4c
btm:M215	C pre-check	placeholder	ARHGDIA/ARHGDIB — Rho GDP-dissociation inhibitors, sequester prenylated Rho GTPases in cytosol; both in list; direction (inhibitory/sequestering) correct | VAV1 — guanine nucleotide exchange factor activating Rac GTPases downstream of antigen receptors; in list | RAC2 — Rho-family GTPase, hematopoietic-restricted; in list | RHOG — Rho-family GTPase upstream of Rac activation; in list | RHOH — atypical, constitutively GTP-bound Rho family member, T-cell signalling; in list; described as regulatory rather than cycling | ARHGAP15/25/30/4/9, GMIP, ARAP1, TAGAP, HMHA1 (ARHGAP45) — RhoGAP-domain proteins that accelerate GTP hydrolysis, i.e. inactivate Rho/Rac; in list | FGD3 — FYVE/RhoGEF, exchange factor for Cdc42; in list | Tissue restriction claim avoided as absolute; ARAP1/ARHGDIA broadly expressed	1	claude-opus-5	v4c
go:GO:0000278	C pre-check	The mitotic cell cycle is the ordered programme by which a cell duplicates its genome and partitions it equally into two daughters, passing through G1, S, G2 and M; its fidelity determines whether tissues renew correctly and whether daughter cells inherit an intact, correctly counted chromosome set. Cyclin-CDK modules set the tempo, with D- and E-type cyclins releasing E2F from RB1 to license origins via the MCM helicase, CDC6 and CDT1 (restrained by geminin), and cyclin B-CDK1 driving mitotic entry under opposing control from WEE1 and the CDC25 phosphatases. In mitosis, gamma-tubulin nucleated spindles, kinetochore complexes such as NDC80, the aurora B passenger complex and the spindle assembly checkpoint govern attachment before the APC/C triggers separase-dependent cohesin cleavage; ESCRT proteins complete abscission. DNA damage checkpoints through ATM, ATR, CHK1/2 and p53 arrest progression, and loss of these brakes underlies aneuploidy and cancer.	CDK1 - cyclin-dependent kinase driving mitotic entry, in list, correct | CCNB1 - mitotic cyclin partner of CDK1, in list | WEE1 - inhibitory kinase phosphorylating CDK1, in list, direction correct | CDC25A/B/C - phosphatases removing inhibitory phosphate on CDKs, in list | RB1 - repressor of E2F, in list; E2F1 in list | CDKN1A/1B - CDK inhibitors, in list | CDC20/FZR1 and ANAPC subunits - APC/C ubiquitin ligase activators/subunits, in list | MAD2L1, BUB1B, BUB3, MAD1L1 - spindle assembly checkpoint, in list | AURKB, INCENP, BIRC5, CDCA8 - chromosomal passenger complex, all in list | PLK1 - mitotic kinase, in list | ESPL1 - separase, cleaves cohesin RAD21; both in list | NDC80/NUF2/SPC24/SPC25 - kinetochore NDC80 complex, in list | TUBG1/TUBGCP - gamma-tubulin nucleation, in list | CHMP/VPS4 ESCRT - abscission, in list | ATM/ATR/CHEK1/CHEK2/TP53 - checkpoint kinases, in list | MCM2-6, CDC45, CDT1, CDC6, GMNN (geminin inhibits CDT1) - licensing, in list	142	claude-opus-5	v4c
go:GO:0002286	C pre-check	placeholder	FOXP3: transcription factor, Treg lineage — in list | TBX21: T-bet, Th1 master TF — in list | GATA3: Th2 TF — in list | RORC: RORγt Th17 TF — in list | BCL6: Tfh TF, transcriptional repressor — in list | CD80/CD86: costimulatory ligands engaging CD28 — in list | ICOS/ICOSLG: costimulatory receptor/ligand — in list | IL2: T cell growth cytokine — in list | JAK1, JAK3, STAT3/4/5A/6: cytokine receptor signalling — in list | HLA-DRA, HLA-DRB1, HLA-DMB, CD74: MHC class II presentation/invariant chain — in list | PSMB8/9/10: immunoproteasome subunits — in list | HAVCR2 (TIM-3): inhibitory checkpoint receptor — in list | CD69: early activation marker — in list | MTOR, TSC1: metabolic control of T cell activation — in list; TSC1 inhibits mTORC1, stated only generally | SOCS3, ZC3H12A (Regnase-1), RC3H1/2 (Roquin): negative regulators — in list | IFNG: effector cytokine — in list	1	claude-opus-5	v4c
go:GO:0002291	C pre-check	T cells commit to an immune response only when their receptor engages a peptide displayed on an MHC molecule at the surface of an antigen-presenting cell, and this pathway covers the contact itself and the accessory signals that decide whether the encounter activates or restrains the cell. It underlies all adaptive cellular immunity — clearance of infected and tumour cells, help for antibody responses — and its miscalibration produces autoimmunity or immune escape. Antigen display depends on class II peptide loading machinery, while stable adhesion is built by LFA-1 (ITGAL) binding ICAM-1, with the Rap1 effector RIAM licensing integrin engagement to form the immunological synapse. Superimposed on this are modulatory receptors: the checkpoint TIM-3 with its ligand galectin-9, inhibitory MHC class I recognition by LILRB1, plexin–semaphorin contacts, and TREM2 signalling through the DAP12 adaptor in the presenting myeloid cell.	ITGAL: integrin alphaL of LFA-1, binds ICAM-1; in list — claim OK | ICAM1: ligand for LFA-1, on APCs; in list — OK | APBB1IP (RIAM): Rap1 effector promoting talin-dependent integrin activation; in list — OK | HLA-DMB: MHC class II-like chaperone catalysing peptide loading/CLIP release; in list — OK | HAVCR2 (TIM-3): inhibitory checkpoint receptor; ligand galectin-9; in list — OK | LGALS9: galectin-9, TIM-3 ligand; in list — OK | LGALS3: galectin-3, immunomodulatory lectin; in list — kept general | LILRB1: inhibitory receptor recognizing MHC class I; in list — OK | TYROBP (DAP12): ITAM adaptor signalling for TREM2; both in list — OK | PLXNA1/SEMA6D: plexin-semaphorin pair acting at the APC–T cell interface; in list — kept general | CD81, FGL2: present but claims kept general	139	claude-opus-5	v4c
go:GO:0002711	C pre-check	Amplifying T cell mediated immunity means raising the frequency and vigour with which T cells recognise antigen and act on it, the arm of adaptive defence that clears intracellular pathogens and transformed cells and that drives autoimmunity and graft rejection when it runs unchecked. Much of this happens at the antigen-presentation step: MHC class I heavy chains with beta-2 microglobulin, class II molecules, the CD1 family for lipid antigens and MR1 for microbial metabolites display ligands to conventional and unconventional T cells, with peptide loading supported by transporter machinery. Costimulatory and stress-induced surface ligands, including OX40L, nectin-family poliovirus receptor proteins and the ULBP/RAET1 NKG2D ligands, lower the threshold for activation. Inflammasome-driven IL-1beta plus IL-12, IL-18, IL-23, IL-4 and IL-6 then instruct helper lineages through T-bet and GATA3, while TCR-proximal signalling via CD45, MALT1, TAK1 and TRAF adaptors converges on NF-kB; FOXP3 marks the regulatory brake on the same circuit.	HLA-A/B/C, B2M — MHC class I heavy chains and beta-2 microglobulin; present; role: peptide presentation to CD8 T cells — correct | HLA-DRA/DRB1 — MHC class II, presentation to CD4 T cells; present | CD1A-E, MR1 — lipid and metabolite antigen presentation to unconventional T cells; present; correct identity | TAP2 — peptide transporter into ER for class I loading; present; direction (import into ER lumen) correct | IL12A/IL12B/IL12RB1, IL23A/IL23R, IL18/IL18R1, IL1B/IL1R1, IL6 — cytokines and receptors; present; IL12 drives Th1, IL23 Th17 — correct | TBX21 — T-bet, Th1 transcription factor; present | GATA3 — Th2 transcription factor; present | IL4 — Th2 cytokine; present | FOXP3 — Treg transcription factor; present; noted as regulatory counterweight, avoid calling it activating | ULBP1-3, RAET1E/G/L — NKG2D ligands; present; stimulatory ligands for NKG2D on T/NK cells — correct | PVR, NECTIN2 — ligands for DNAM-1/CD226; present | TNFSF4 — OX40L, costimulatory TNF family ligand; present | NLRP3, P2RX7 — inflammasome activation and ATP-gated cation channel upstream of IL-1beta; present; correct | MALT1 — protease/scaffold in CARMA1-BCL10-MALT1 complex to NF-kB; present | TRAF2, TRAF6, MAP3K7 (TAK1) — NF-kB/MAPK signalling adaptors and kinase; present | PTPRC — CD45 phosphatase required for TCR signalling; present | XCL1 — chemokine attracting XCR1+ dendritic cells; present | Dropped specific claims on ARID5A, ZBTB1, SASH3, FBXO38, SECTM1, ZP3	149	claude-opus-5	v4c
go:GO:0003044	C pre-check	Arterial pressure is set moment to moment by circulating and locally released chemical mediators acting on vascular tone, renal salt and water handling, and cardiac output; this is the hormonal, autocrine and paracrine limb of blood pressure control, as opposed to neural reflexes. Its core is the renin-angiotensin-aldosterone axis: renin cleaves angiotensinogen, ACE generates angiotensin II for the AT1 receptor and aldosterone synthesis, while ACE2 and the receptor MAS1 form an opposing vasodilatory arm, with mast cell chymase and cathepsin G providing alternative peptide processing. Counter-regulation comes from endothelial nitric oxide synthase, natriuretic peptide maturation by corin and its degradation by neprilysin, and mineralocorticoid protection by HSD11B2, balanced against endothelins, vasopressin and adrenergic receptor signalling. Derangement of these mediators underlies essential and secondary hypertension, and they are the targets of most antihypertensive drugs.	ACE: dipeptidyl carboxypeptidase converting angiotensin I to II — in list | ACE2: carboxypeptidase generating angiotensin-(1-7) — in list | REN: aspartyl protease cleaving angiotensinogen — in list | AGT: angiotensinogen precursor — in list | AGTR1: Ang II receptor, vasoconstriction — in list | MAS1: receptor for angiotensin-(1-7), vasodilatory arm — in list | CYP11B2: aldosterone synthase — in list | HSD11B2: converts cortisol to inactive cortisone, protecting mineralocorticoid receptor — in list | NOS3: endothelial NO synthase, NO-mediated vasodilation — in list | EDN1/EDNRB/ECE1: endothelin-1, receptor, converting enzyme — all in list | CORIN: protease processing pro-ANP — in list | MME: neprilysin, degrades natriuretic peptides — in list | AVPR2: vasopressin receptor, renal water reabsorption — in list | ADRB1/ADRA1A: adrenergic receptors — in list | CMA1/CTSG/CPA3: mast cell chymase/cathepsin G/carboxypeptidase A3, alternative angiotensin processing — in list | Dropped claims about SUCNR1, OR51E2 specifics beyond renin release context	133	claude-opus-5	v4c
go:GO:0006109	C pre-check	This is the control layer over carbohydrate metabolism: the hormonal, kinase and transcriptional inputs that decide whether a cell stores glucose as glycogen, burns it, or makes it anew. It sets fasting and postprandial blood glucose, and its failure is the substance of insulin resistance, type 2 diabetes and glycogen storage disease. Insulin acting through its receptor, IRS adaptors and AKT opposes glucagon and glucocorticoid signalling through cyclic AMP and FOXO1, while glucokinase and fructose-1,6-bisphosphatase set flux at the committed steps of glycolysis and gluconeogenesis. Glycogen handling is tuned by GSK3 and by the PPP1R3 family of glycogen-targeting phosphatase subunits, and pyruvate dehydrogenase kinases divert pyruvate away from oxidation. Nutrient sensors AMPK, mTORC1, sirtuins, O-GlcNAc transferase and glucose-responsive transcription factors, together with adipokines such as leptin and adiponectin, couple this to whole-body energy state.	INS (insulin) — hormone lowering blood glucose; in list; safe | INSR — insulin receptor tyrosine kinase; in list | IRS1/IRS2 — insulin receptor substrate adaptors; in list | AKT1/AKT2 — kinases downstream of PI3K; in list | GSK3A/GSK3B — kinases inhibiting glycogen synthase; in list; direction: inhibit glycogen synthesis, relieved by insulin | GCG glucagon, GCGR receptor — raise glucose; in list | GCK glucokinase — phosphorylates glucose, hepatic/beta-cell sensor; in list | FBP1 fructose-1,6-bisphosphatase — gluconeogenic; in list | PPP1R3A-G — glycogen-targeting subunits of protein phosphatase 1; in list | PRKAA1/2, PRKAG1-3 — AMPK subunits, energy sensor; in list | MTOR/RPTOR/MLST8 — mTORC1; in list | FOXO1 — transcription factor driving gluconeogenic genes; in list | PPARGC1A — coactivator of gluconeogenesis/mitochondrial biogenesis; in list | PDK1-4 — pyruvate dehydrogenase kinases, inhibit PDH; in list; direction correct | LEP/LEPR, ADIPOQ/ADIPOR1 — adipokines; in list | TCF7L2 — transcription factor, T2D risk; in list | HIF1A — glycolytic transcription factor; in list | SIRT1 — NAD+-dependent deacetylase; in list | OGT — O-GlcNAc transferase; in list | MLXIPL (ChREBP) — glucose-responsive TF; in list	134	claude-opus-5	v4c
go:GO:0006198	C pre-check	placeholder	PDE4A/B/C/D — cAMP-specific phosphodiesterases, hydrolyze cAMP to 5'-AMP; in list; direction: degrade cAMP — correct | PDE7A/PDE7B — cAMP-specific, high affinity, rolipram-insensitive; in list | PDE8A/PDE8B — cAMP-specific, IBMX-insensitive; in list; PDE8B mutations linked to adrenal hyperplasia/Cushing — safe general statement | PDE10A — dual-substrate cAMP/cGMP, striatum-enriched; in list; avoid claiming cAMP-only | No cyclases or kinases in list; avoid claiming synthesis | Avoid tissue-restriction claims since PDE4 is broadly expressed	1	claude-opus-5	v4c
go:GO:0006325	C pre-check	Chromatin organization is the set of activities that package genomic DNA with histones and then continually rebuild, mark and reposition that packaging so that transcription, replication, repair and chromosome segregation can happen on the right sequences at the right time. It covers the core and variant histones themselves, chaperones such as ASF1A and the CAF-1 subunits that deposit nucleosomes behind the replication fork, and ATP-dependent remodellers of the SWI/SNF, CHD, INO80 and ISWI families that slide or evict them. Overlaid on this are the writers, erasers and readers of histone and DNA modification — acetyltransferases and HDACs, PRC1 and PRC2 repressive complexes, KMT and KDM enzymes, DNMTs and TET dioxygenases — plus architectural factors like CTCF and cohesin that fold the genome into loops, CENPA-based centromere assembly, and the protamine-driven repackaging of sperm. Mutations across these complexes cause developmental syndromes and are among the commonest drivers in cancer.	DNMT1: DNA methyltransferase, maintenance methylation of CpG; in list — OK | EZH2/SUZ12/EED: PRC2 core, H3K27 methylation; in list — OK | RNF2/RING1/BMI1: PRC1 H2A ubiquitin ligase components; in list — OK | SMARCA4/ARID1A/SMARCB1: SWI/SNF ATP-dependent remodeler; in list — OK | HDAC1/HDAC2 with SIN3A, RBBP4: deacetylases removing acetyl groups; in list — OK | KDM4A etc: lysine demethylase; in list — OK (kept general) | CENPA/HJURP: centromeric histone variant and its chaperone; in list — OK | TET1/2/3: 5mC dioxygenases initiating demethylation; in list — OK | CHAF1A/ASF1A: replication-coupled histone chaperones; in list — OK | TRIM28/SETDB1: heterochromatin H3K9 silencing; in list — OK | CTCF/RAD21/NIPBL: loop and cohesin architecture; in list — OK | TNP1/TNP2/PRM1: spermatid chromatin repackaging; in list — OK | KAT2A/EP300/CREBBP: acetyltransferases; in list — OK	148	claude-opus-5	v4c
