key	source	text_availability	stratum	blind_label	model	words	clean	findings	description_generated
reactome:R-HSA-8852405	reactome	described	reactome/long_prose	C	claude-opus-5	143	yes	-	"Signaling by MST1" describes the activation of macrophage-stimulating protein and its receptor RON, a growth factor axis that shapes how macrophages and epithelia respond to injury and infection. It tunes inflammation in two phases, first driving macrophage chemotaxis and phagocytosis and later damping their inflammatory output so tissue repair can proceed; the same receptor is overexpressed in epithelial cancers, where it promotes invasive growth. The ligand is secreted by the liver as an inactive single-chain precursor of the kringle family, related to hepatocyte growth factor and plasminogen, and must be cleaved by a membrane serine protease such as hepsin at sites of coagulation or inflammation. The HAI-type inhibitors SPINT1 and SPINT2 restrain that proteolysis, setting how much active ligand reaches the receptor. Receptor dimerisation and autophosphorylation then create a docking site for GRB2, PI3K and SRC, coupling to survival, motility and wound-healing programmes.
reactome:R-HSA-8852405	reactome	described	reactome/long_prose	A	claude-sonnet-5	142	no	json_residue=}	"Signaling by MST1" describes how the circulating growth factor MST1 (macrophage-stimulating protein) activates its receptor tyrosine kinase MST1R (RON) to shape innate immune responses at sites of tissue injury and infection. It matters because it sets the tempo of inflammation: an early phase that promotes macrophage chemotaxis and phagocytosis, followed by a dampening phase that restrains excessive immune activity and helps resolve inflammation once pathogens are cleared. Mechanistically, inactive pro-MST1 is proteolytically activated by serine proteases such as hepsin (HPN), with SPINT1 and SPINT2 acting as membrane-anchored protease inhibitors that control where and when this cleavage occurs. Active MST1 dimers bind MST1R on epithelial and macrophage surfaces, driving receptor dimerization, autophosphorylation, and recruitment of adaptors like GRB2 and PI3K to trigger downstream signaling. Dysregulated MST1R signaling contributes to epithelial cancer progression, linking this wound-healing and immune-modulatory pathway to tumor invasion and metastasis.”}ement=
reactome:R-HSA-8852405	reactome	described	reactome/long_prose	B	claude-haiku-4-5	151	no	length=151 words, want 90-150	"Signaling by MST1" is the macrophage-stimulating pathway that orchestrates myeloid cell activation and later constrains inflammatory damage. MST1, a kringle-containing growth factor produced by the liver, circulates as an inactive precursor and becomes activated during blood clotting and at inflammatory sites. The active dimer binds MST1R, a receptor tyrosine kinase on macrophages and epithelial cells, triggering receptor dimerization and autophosphorylation of the catalytic domain. This recruits adaptor proteins including GRB2, PI3K, and SRC to propagate downstream signals that drive chemotaxis and phagocytic activation. The pathway exhibits temporal control: early signaling mobilizes macrophage responses to infection and injury, while continued MST1R engagement applies brake signals that dampen inflammation and prevent excessive tissue damage. Hepatocyte growth factor-like protein maturation is regulated by serine proteases, notably SPINT1 and SPINT2, which control the balance between activation and inhibition. MST1R dysregulation contributes to epithelial cancer progression, linking this pathway to both innate immunity and malignant transformation.
reactome:R-HSA-9013425	reactome	described	reactome/markup	B	claude-opus-5	137	yes	-	"RHOT1 GTPase cycle" describes the nucleotide-dependent switching of Miro-1, an atypical Rho-family GTPase anchored in the outer mitochondrial membrane that determines where mitochondria go inside a cell. It is the calcium- and nucleotide-sensitive adaptor that couples organelles to the cytoskeleton, and its failure is felt most acutely in neurons, where mitochondria must be delivered along long axons to synapses; disrupted Miro-dependent trafficking and turnover accompanies Parkinson's disease and other neurodegeneration, while raised RHOT1 is protective after ischaemic stroke. Loaded with GTP through exchange by RAP1GDS1, Miro-1 recruits the TRAK1 and TRAK2 adaptors that link kinesin and dynein motors to mitochondria, and the actin motor MYO19 for short-range positioning. The same machinery acts on peroxisomes and helps shape ER-mitochondria contact sites, tying organelle transport to fission, fusion and mitophagy. Its high intrinsic hydrolysis rate makes a GAP unnecessary.
reactome:R-HSA-9013425	reactome	described	reactome/markup	C	claude-sonnet-5	130	no	json_residue=}	"RHOT1 GTPase cycle" governs how mitochondria are positioned and moved within the cell, a function especially critical in long, polarized neurons that must deliver energy-producing organelles to distant synapses and growth cones. RHOT1 (MIRO-1) is an outer mitochondrial membrane GTPase that, unlike most Rho-family switches, has strong intrinsic GTPase activity and does not depend on classical GAPs, though nucleotide-state regulators and effectors still shape its cycle. It works as a calcium-sensing adaptor, linking mitochondria to microtubule motors through TRAK1 and TRAK2 and to the actin cytoskeleton via MYO19, coordinating anterograde and retrograde trafficking, fission and fusion, and contact sites with the ER and peroxisomes. Loss of this control impairs axonal mitochondrial transport and clearance of damaged mitochondria, contributing to neurodegenerative disease, while its activity can protect neurons during ischemic stress.}📎
reactome:R-HSA-9013425	reactome	described	reactome/markup	A	claude-haiku-4-5	127	yes	-	"RHOT1 GTPase cycle" controls where mitochondria go inside cells and when they fuse, split, and turn over -- functions neurons depend on for energy distribution and health. RHOT1 is a RHO-family GTPase anchored to the mitochondrial outer membrane that cycles between active GTP-bound and inactive GDP-bound states, driven by GEFs like RAP1GDS1 rather than the usual regulators. It recruits motor adapters TRAK1 and TRAK2, which couple mitochondria to myosin motors like MYO19 for movement along the cytoskeleton, and engages effectors that govern fusion, fission, and contacts with the endoplasmic reticulum. In neurons particularly, this pathway distributes mitochondria to axons and synapses where energy demand spikes. Its failure leads to mitochondrial stalling, impaired ATP delivery, and neurodegeneration, making RHOT1 activity a link between organellar transport and neuronal survival.
reactome:R-HSA-156580	reactome	described	reactome/large_set	A	claude-opus-5	140	yes	-	"Phase II - Conjugation of compounds" is the second stage of xenobiotic biotransformation, in which transferase enzymes attach polar groups from cofactors onto drugs, dietary chemicals, hormones and the reactive metabolites generated by phase I oxidation, making them water-soluble and readily excreted in bile or urine. It determines drug half-life, and its failure or genetic variation causes hyperbilirubinaemia, thiopurine and irinotecan toxicity, and susceptibility to chemical carcinogens; occasionally conjugation instead bioactivates a compound. The main routes are glucuronidation by microsomal UGTs, sulfonation by cytosolic SULTs, glutathione conjugation by the GST family, methylation by COMT, TPMT and NNMT, acetylation by NAT1 and NAT2, and amino acid conjugation by glycine N-acyltransferases. Also included is the supply and recycling of the cofactors themselves — UDP-glucuronic acid, S-adenosylmethionine, and glutathione synthesis and turnover through the gamma-glutamyl cycle — which can limit overall conjugating capacity.
reactome:R-HSA-156580	reactome	described	reactome/large_set	C	claude-sonnet-5	151	no	length=151 words, want 90-150	"Phase II - Conjugation of compounds" is the second stage of drug and xenobiotic metabolism, in which small polar groups are enzymatically attached to foreign chemicals, hormones, and phase I metabolites to make them water-soluble enough for excretion in bile or urine. It determines how quickly the body clears drugs, environmental toxins, and reactive intermediates, and its capacity shapes individual variation in drug response and susceptibility to chemical toxicity. Distinct transferase families carry out this work: glutathione S-transferases neutralize electrophiles, UDP-glucuronosyltransferases attach glucuronic acid, sulfotransferases add sulfate groups, N-acetyltransferases and catechol-O-methyltransferase modify amines and catechols, and glycine N-acyltransferases and acyl-CoA synthetases conjugate carboxylic acids. Cofactor-generating enzymes such as GSS, MAT1A/MAT2A, and UGDH supply the glutathione, SAM, and UDP-glucuronic acid needed for these reactions. Loss of function in these enzymes, largely cytosolic apart from the microsomal UGTs, causes accumulation of reactive or pharmacologically active metabolites, underlying jaundice, drug toxicity, and carcinogen susceptibility.
reactome:R-HSA-156580	reactome	described	reactome/large_set	B	claude-haiku-4-5	147	yes	-	"Phase II - Conjugation of compounds" makes xenobiotics and their metabolites water-soluble and excretable by attaching hydrophilic groups to them, the second major stage of drug and toxin clearance. Without this pathway, lipophilic compounds accumulate in tissues and cells, risking organ damage and toxicity. The process uses transferases to conjugate substrates with activated cofactors: glutathione via glutathione S-transferases, glucuronic acid via UDP-glucuronosyltransferases, sulfate via sulfotransferases, acetyl groups via N-acetyltransferases, and methyl groups via methyltransferases, among others. The cofactors themselves must first be synthesized and activated—glutathione from its precursors, PAPS from ATP and inorganic sulfate, UDP-glucuronic acid from glucose. Most conjugating enzymes occupy the cytosol; the microsomal UGTs are an exception. Phase II reactions typically proceed faster than phase I oxidation, making phase I the rate-limiting step in whole-body clearance. Genetic variation in transferases like NAT2, UGT1A1, and TPMT explains individual differences in drug tolerance and toxin sensitivity.
go:GO:0033002	go	described	go/terse_def	A	claude-opus-5	133	yes	-	"Muscle cell proliferation" covers the mitotic expansion of muscle cell populations — skeletal myoblasts and satellite cells, cardiomyocytes, and vascular smooth muscle cells — and the controls that decide when such cells divide rather than differentiate or remain quiescent. It underlies muscle growth and regeneration after injury, cardiac development and hypertrophic remodelling, and pathologically the neointimal thickening of atherosclerosis, restenosis and pulmonary hypertension. Growth factor and cytokine inputs (PDGF, FGF, IGF1, TGF-beta/BMP, neuregulin, interleukins and TNF) converge on PI3K-AKT, MAPK and JAK-STAT signalling and on cell cycle regulators such as CCNB1, CDK1 and the inhibitors CDKN1A and CDKN1B. Myogenic and cardiac transcription factors including MYOG, MEF2, SIX1, MYOCD and NKX2-5, Notch and Hippo-YAP signalling, and an extensive set of microRNAs including miR-1, miR-133 and miR-143/145 set the balance between proliferation and terminal differentiation.
