key	arm	description	checks	words	model	prompt_version
btm:M129	A plain	Inositol phosphate metabolism generates and recycles the phosphorylated inositol species that mark membranes for identity and release calcium-mobilising second messengers. Its outputs govern how vesicles are sorted, how endosomes and autophagosomes mature, and how receptor signalling is terminated, so cells depend on it for membrane traffic as much as for signal transduction. Lipid kinases such as PIK3C2A, the class III enzyme PIK3C3 and the 5-kinase PIKFYVE phosphorylate inositol head groups on endosomal and autophagic membranes, while the polyphosphoinositide phosphatase synaptojanin removes phosphates to drive clathrin uncoating at synapses, and inositol monophosphatase completes the cycle by freeing myo-inositol for resynthesis. Loss of this turnover is damaging in neurons in particular: synaptojanin mutations cause parkinsonism and epileptic encephalopathy, and lithium acts partly by inhibiting the monophosphatase step.	-	125	claude-opus-5	v4
btm:M177.0	A plain	A mixed immune-expression module centred on mononuclear leukocyte identity and trafficking, combining chemokine receptors, GTPase-of-immunity-associated proteins and transcriptional regulators. Monocyte and macrophage recruitment to inflamed tissue depends on CCR2 and CX3CR1, whose ligands direct patrolling and infiltrating cells to vessel walls and injured sites; loss of this axis blunts inflammatory monocyte egress from bone marrow and reshapes atherosclerotic and neuroinflammatory disease. The GIMAP proteins act in lymphocyte survival and homeostasis, linking the set to T cell persistence as well as myeloid function. Signalling and feedback components include the IL-1 receptor accessory protein required for interleukin-1 responses, the MAPK phosphatase DUSP4 that dampens kinase output, the TNF-family receptor FN14, and the immediate-early factor NR4A3. Numerous KRAB-type zinc finger proteins and the repressor HIC1 suggest accompanying transcriptional control, alongside metabolic and autophagy-related members.	-	131	claude-opus-5	v4
btm:M4.14	A plain	Rho family GTPases switch between GDP- and GTP-bound states, and the cycling itself — loading by exchange factors, inactivation by GTPase-activating proteins — is what converts signals into localized actomyosin contraction. The genes here tie that cycle to cell division: ECT2 is the exchange factor that activates RhoA at the equatorial cortex, while RACGAP1, its partner in the centralspindlin complex, provides GAP activity and helps position the cleavage furrow. PRC1 crosslinks antiparallel midzone microtubules and CEP55 recruits abscission machinery to the midbody, so the pathway spans furrow ingression through the final severing of the daughter cells. Several ARHGAP and DEPDC1 members add further inactivating or regulatory input, and E2F2 links the whole programme to S-phase entry. Loss of control here produces failed cytokinesis, binucleate cells and aneuploidy, and these genes are recurrently overexpressed in proliferative tumours.	-	136	claude-opus-5	v4
btm:M4.7	A plain	Somatic cells duplicate their chromosomes and partition them equally into two daughters, and this mitotic cell cycle module covers the commitment to division and the machinery that executes it. Getting it wrong produces aneuploidy, tetraploidy and the chromosomal instability that characterises tumours; sustained overexpression of these genes is one of the most consistent proliferation signatures in cancer tissue. Mitotic cyclins partnered with CDK1 drive entry into mitosis, opposed by the inhibitory kinases WEE1-family member PKMYT1 and reversed by CDC25 phosphatases that remove the restraining phosphates. FOXM1 supplies the transcriptional programme for the G2/M genes. Downstream, PLK1 and NEK2 coordinate spindle assembly and centrosome separation, PLK4 and centriolar proteins such as CEP152 license centriole duplication, gamma-tubulin nucleates microtubules, and shugoshin protects centromeric cohesion until anaphase.	-	124	claude-opus-5	v4
btm:M51	A plain	Cells attach to each other and to the matrix around them, and this cell adhesion programme supplies both the ligands and the receptors that make those contacts. It underlies tissue architecture, wound healing, leukocyte recruitment and platelet plug formation, and its dysregulation contributes to fibrosis, thrombosis and tumour invasion. Fibrillar and network collagens together with fibronectin, laminins, nidogen, tenascin, periostin and thrombospondins build the adhesive substrate, while integrins such as the platelet fibrinogen receptor pair ITGA2B/ITGB3, the von Willebrand factor receptor complex GP1BA/GP9, and endothelial adhesion molecules VCAM1, SELP and junctional JAM3/ESAM mediate binding under flow. Chemokines CXCL12 and IL8 and the cytokine IL1B activate these receptors on circulating cells, and SNAI2 links the same machinery to epithelial-mesenchymal transition, coupling adhesion to migration and matrix remodelling.	-	126	claude-opus-5	v4
btm:M66	A plain	These genes mark the differentiated tissue macrophage and microglial state, the resident phagocyte programme that clears debris and dying cells, handles iron and heme, and shapes local immune tone. Fc receptor gamma chain and the Tec kinase BTK couple immunoglobulin and immune-complex recognition to phagocytosis, while CYBB encodes the NADPH oxidase catalytic subunit gp91phox that generates the respiratory burst; its loss causes chronic granulomatous disease with recurrent bacterial and fungal infection. Heme oxygenase-1 degrades heme to biliverdin, carbon monoxide and free iron, linking these cells to erythrocyte recycling and to copper and amino acid transport by SLC31A2 and SLC7A7. IDO1 with KMO and KYNU carries tryptophan down the kynurenine route, producing metabolites that suppress T cell responses and, in brain, act on neurons. MAFB sustains the macrophage identity underlying all of it.	-	132	claude-opus-5	v4
btm:M69	A plain	This grouping captures the transcriptional signature of mature B cells, the antibody-producing lineage of adaptive immunity, and its members are the surface proteins by which B cells are recognised and therapeutically targeted. The core is the antigen receptor complex and its immediate modulators: CD79A and CD79B transmit immunoglobulin engagement into intracellular signalling, while CD19 amplifies that signal and CD22, CD72 and BTLA restrain it, setting the threshold at which a B cell responds to antigen rather than ignoring it or reacting to self. Complement receptor CR2 links innate opsonisation to B cell activation, CXCR5 directs homing into follicles and germinal centres, and HLA-DOB tunes peptide loading for presentation to helper T cells. MS4A1, the CD20 target of depleting antibodies, and Fc receptor-like proteins complete a profile that distinguishes B cells in tissue and blood expression data.	-	136	claude-opus-5	v4
btm:M72.1	A plain	A mixed group of broadly expressed regulators that keep housekeeping functions of the cell running: chromatin-associated and transcriptional components, RNA-binding proteins, and machinery for endosomal membrane traffic and cytoskeletal contractility. Several members act on gene expression — a chromatin-interacting subunit of a histone deacetylase-containing repressor complex, a cyclin partner of the CDK8 kinase module of Mediator, and the zinc-finger transcription factor SP3. Others control the fate of mRNAs after they are made: MBNL1 governs alternative splicing of muscle and neuronal transcripts, FMR1 represses translation at synapses and its loss causes fragile X syndrome, and G3BP2 nucleates stress granules when translation stalls. A third arm handles membranes and organelles, including the ESCRT-associated ATPase VPS4B in multivesicular body formation, a phosphoinositide phosphatase acting at the Golgi and ER, and a myosin phosphatase targeting subunit that tunes actomyosin tension.	-	136	claude-opus-5	v4
btm:M95.1	A plain	This module marks the professional antigen-presenting compartment of the immune system, where extracellular proteins are displayed on MHC class II to CD4 T cells so that helper responses, antibody production and immunological memory can be initiated. Its core is the class II locus itself — HLA-DR alpha and beta chains together with the HLA-DM chaperone that catalyses exchange of the invariant chain-derived placeholder peptide for high-affinity antigenic peptides in the late endosome. Around this sit the adhesion and signalling components that make a productive contact with the T cell and sustain it: ICAM1 with the integrin beta-2 chain, the pan-leukocyte phosphatase CD45, CD53, and the myeloid adaptors AIF1, FYB and PLEK. Expression of this programme in monocytes, macrophages, dendritic cells and B cells defines their competence to present; loss of class II expression causes profound combined immunodeficiency, while its inappropriate induction contributes to autoimmunity and transplant rejection.	-	147	claude-opus-5	v4
go:GO:0002408	A plain	Myeloid dendritic cells only present antigen usefully if they can leave the tissue where they captured it and find the T cell zones of a draining lymph node, and this directed migration is what the chemotaxis programme provides. Stromal and lymphatic endothelial cells lay down the chemokines CCL19 and CCL21, which the receptor CCR7 reads on the maturing dendritic cell surface, converting a gradient into polarized crawling toward and along lymphatic vessels. Downstream, a Rho-family guanine nucleotide exchange factor couples that signal to cytoskeletal rearrangement, while the myeloid transcription factor PU.1 specifies the cell type in which this machinery is expressed. Loss of the receptor or its ligands strands antigen-loaded cells in the periphery, blunting priming of naive T cells and tolerance induction; the same axis is exploited by tumour cells for nodal metastasis.	-	134	claude-opus-5	v4
