n	key	source	name	kind	quote	reason	label	label_source
1	btm:M215	btm	small GTPase mediated signal transduction	wrong	the exchange factors VAV1 and FGD3 load them with GTP downstream of antigen and integrin receptors	FGD3 is a Cdc42-specific GEF, not a GEF for RAC2/RHOG/RHOH; also RHOH is an atypical GTPase-deficient, constitutively GTP-bound Rho protein not activated by GEFs.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
10	go:GO:0042220	go	response to cocaine	wrong	while CRH, oxytocin, prodynorphin-related and kappa-opioid signalling link drug exposure to stress and aversive withdrawal states	PNOC in the list is prepronociceptin/nociceptin precursor, not prodynorphin (PDYN is absent).	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
11	go:GO:0043084	go	penile erection	wrong	adenosine tone maintained by adenosine deaminase act on endothelium and smooth muscle	ADA degrades adenosine, lowering adenosine tone; loss of ADA raises adenosine and causes priapism, so it does not 'maintain' adenosine signalling.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
12	go:GO:0043371	go	negative regulation of CD4-positive, alpha-beta T cell differentiation	wrong	Lineage-determining transcription factors act reciprocally, so that RUNX3, TBX21, ZBTB7B, BCL6 and FOXP3 each repress alternative helper programmes and enforce mutually exclusive identities, including the choice between CD4 and CD8 lineages during thymic development.	ZBTB7B (ThPOK) is the master positive determinant of the CD4 lineage (it silences the CD8 programme), so listing it as a repressor of helper programmes misstates its direction of effect.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
13	go:GO:0043473	go	pigmentation	wrong	TYR, TYRP1, DCT, PMEL, OCA2 and SLC45A2 build and acidify the melanosome interior	OCA2 and SLC45A2 regulate melanosomal pH by raising it (neutralizing/alkalinizing) to permit tyrosinase activity, not acidifying it.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
14	go:GO:0048340	go	paraxial mesoderm morphogenesis	wrong	while BMPR1A acting through SMAD2/SMAD3 patterns it dorsoventrally	BMPR1A signals via SMAD1/5/8; SMAD2/3 are effectors of TGF-beta/activin/Nodal receptors, not BMPR1A.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
15	go:GO:0051151	go	negative regulation of smooth muscle cell differentiation	wrong	miR-143/145-related regulators	miR-143/145 are not in the gene set, and they are canonical promoters (not repressors) of smooth muscle differentiation.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
16	go:GO:0098901	go	regulation of cardiac muscle cell action potential	wrong	and TRPM4 background conductance	TRPM4 is a calcium-activated nonselective cation channel gated by intracellular Ca2+, not a background/leak conductance.	arguable	model-drafted, human-reviewed and accepted; not independent human labels
17	go:GO:0170043	go	non-proteinogenic amino acid biosynthetic process	wrong	ornithine and citrulline, made by carbamoyl phosphate synthetase and ornithine transcarbamylase as the nitrogen-carrying core of the urea cycle	OTC consumes ornithine to make citrulline; ornithine is produced by arginase (or from glutamate via ALDH18A1/OAT), not by CPS1/OTC.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
18	go:GO:1902165	go	regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	wrong	acetylation-dependent control through SIRT1 and KDM1A	KDM1A/LSD1 is a lysine demethylase acting on p53 methylation, not acetylation; SIRT1 is the deacetylase.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
19	go:GO:1903294	go	regulation of glutamate secretion, neurotransmission	wrong	RAB3GAP1 activates Rab3 to govern the vesicle cycle	RAB3GAP1 is the catalytic subunit of Rab3 GTPase-activating protein; it stimulates GTP hydrolysis and thereby inactivates Rab3, not activates it.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
2	go:GO:0002286	go	T cell activation involved in immune response	wrong	Proteasome subunits, SOCS proteins, ZC3H12A and the roquin ligases restrain the response	Proteasome subunits (including immunoproteasome PSMB8/9/10) support antigen processing and NF-κB activation rather than restraining T cell activation; only SOCS, ZC3H12A and roquins are negative regulators.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
20	go:GO:1990573	go	potassium ion import across plasma membrane	wrong	Na-K-2Cl and K-Cl cotransporters of the SLC12 family couple potassium entry to sodium and chloride fluxes	K-Cl cotransporters (KCC1-4, SLC12A4-7) normally mediate K+ efflux with Cl-, not potassium entry; only the NKCC/NCC branch imports K+.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
21	go:GO:2001186	go	negative regulation of CD8-positive, alpha-beta T cell activation	wrong	HFE and related MHC class I-like molecules modulate peptide presentation	HFE is an MHC class I-like protein that does not bind or present peptides; it regulates iron uptake via transferrin receptor binding.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
22	reactome:R-HSA-4755583	reactome	Defective DOLK causes DOLK-CDG	wrong	as the mannose donor for O-mannosylation	Dolichyl phosphate is not itself the mannose donor; dolichyl-phosphate-mannose (made from Dol-P plus GDP-mannose) is the donor.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
23	reactome:R-HSA-5678895	reactome	Defective CFTR causes cystic fibrosis	wrong	derlins and ERLIN proteins mark it for retrotranslocation	Derlins form the retrotranslocation channel/complex; ERLINs are ERAD adaptors, neither 'marks' substrates — marking is ubiquitination by the E3s. Misassigns molecular roles.	arguable	model-drafted, human-reviewed and accepted; not independent human labels
24	reactome:R-HSA-75064	reactome	mRNA Editing: A to I Conversion	wrong	ADAR and ADARB1 carry out this chemistry through paired double-stranded RNA-binding domains and a catalytic deaminase domain, with duplex structure formed by intronic complementary sequences specifying which adenosines are targeted.	ADAR1 contains three dsRNA-binding domains (ADAR2 has two), so describing the family as having 'paired' dsRBDs is inaccurate.	arguable	model-drafted, human-reviewed and accepted; not independent human labels
25	reactome:R-HSA-8956321	reactome	Nucleotide salvage	wrong	and deaminases, phosphorylases and AMP deaminases route intermediates between the purine and pyrimidine pools or toward degradation	No enzyme here converts material between purine and pyrimidine pools; deaminases/phosphorylases act within each pool (e.g. ADA, GMPR on purines; CDA, UPP on pyrimidines).	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
26	reactome:R-HSA-912446	reactome	Meiotic recombination	wrong	resected by the MRE11-RAD50-NBN nuclease with ATM signalling and RPA coating the resulting 3' overhangs	MRE11-RAD50-NBN with CtIP/RBBP8 performs initial endonucleolytic resection, but the description's ordering is broadly acceptable; however ATM is a kinase signalling factor not a resection nuclease — arguable. Main issue is minor; flagged as borderline.	arguable	model-drafted, human-reviewed and accepted; not independent human labels
27	reactome:R-HSA-9706019	reactome	RHOBTB3 ATPase cycle	wrong	Expression is broad but highest in neural, cardiac and endocrine tissue	Curated description lists high levels in placenta, testis, pancreas, adrenal and salivary glands plus neural and cardiac tissues; singling out these as 'highest' misstates the list.	arguable	model-drafted, human-reviewed and accepted; not independent human labels
3	go:GO:0002711	go	positive regulation of T cell mediated immunity	wrong	while GATA3, TBX21 and FOXP3 fix helper lineage identity	FOXP3 specifies regulatory T cells and is a suppressor of effector T cell immunity, not a helper (Th) lineage identity factor; grouping it as positively fixing helper identity is misleading.	arguable	model-drafted, human-reviewed and accepted; not independent human labels
4	go:GO:0006270	go	DNA replication initiation	wrong	cyclin E-CDK2 together with CDC45, GINS and MCM10 converts it into an active replisome	Helicase activation is driven by DDK and CDK (S-phase CDK), but the CMG-forming step is not attributed to cyclin E-CDK2 as the converting kinase in this way; CDK2 activity licenses initiation rather than assembling CDC45/GINS directly.	arguable	model-drafted, human-reviewed and accepted; not independent human labels
5	go:GO:0019370	go	leukotriene biosynthetic process	wrong	Expression is largely restricted to myeloid and mast cells, where receptor signalling through kinases including SYK triggers calcium-dependent enzyme translocation.	Several set members are not myeloid-restricted: PLA2G1B is pancreatic and the GGT family and MGST3/ABCC1 are broadly expressed.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
6	go:GO:0019370	go	leukotriene biosynthetic process	wrong	progressively trimmed by gamma-glutamyl transferases to LTD4 and LTE4	GGT/GGT5 converts LTC4 to LTD4; the further step to LTE4 is catalysed by a dipeptidase, not a gamma-glutamyl transferase.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
7	go:GO:0032259	go	methylation	wrong	PRMT families are recurrently mutated in developmental syndromes and cancer	PRMTs are arginine methyltransferases, not histone lysine methyltransferases as the sentence's framing implies, and they are not characteristically recurrently mutated in developmental syndromes; they are more often overexpressed.	arguable	model-drafted, human-reviewed and accepted; not independent human labels
8	go:GO:0033144	go	negative regulation of intracellular steroid hormone receptor signaling pathway	wrong	corepressor complexes such as NCOR1/NCOR2 with HDAC1 dock onto liganded receptors to silence target promoters	NCoR/SMRT corepressors are recruited preferentially to unliganded or antagonist-bound steroid receptors; agonist binding promotes coactivator exchange.	unambiguous	model-drafted, human-reviewed and accepted; not independent human labels
